turfID,originPlotID,originSite,originSiteBlock,block,treatment,treatmentOrigin,date_yyyymmdd,unknownMorpho,species,count,comments
mo1-3_nu_mo1-3,mo1-3,Monument,Monument1,1,netted untouched,netted untouched Monument,20170718,Heterotheca pumila,Heterotheca pumila,0,As clump
mo2-1_ws_mo2-3,mo2-3,Monument,Monument2,2,within site transplant,within site transplant Monument,20170718,Heterotheca pumila,Heterotheca pumila,3,As clump
um3-2_w2_mo3-3,mo3-3,Monument,Monument3,3,warmed two steps,warmed two steps Monument,20170718,Heterotheca pumila,Heterotheca pumila,2,As clump
um4-2_w2_mo4-3,mo4-3,Monument,Monument4,4,warmed two steps,warmed two steps Monument,20170718,Heterotheca pumila,Heterotheca pumila,0,As clump
pf5-2_w1_mo5-3,mo5-3,Monument,Monument5,5,warmed one step,warmed one step Monument,20170718,Heterotheca pumila,Heterotheca pumila,0,As clump
mo1-3_nu_mo1-3,mo1-3,Monument,Monument1,1,netted untouched,netted untouched Monument,20170718,Hydrophyllum capitatum,Hydrophyllum capitatum,2,
mo2-1_ws_mo2-3,mo2-3,Monument,Monument2,2,within site transplant,within site transplant Monument,20170718,Hydrophyllum capitatum,Hydrophyllum capitatum,1,
um3-2_w2_mo3-3,mo3-3,Monument,Monument3,3,warmed two steps,warmed two steps Monument,20170718,Hydrophyllum capitatum,Hydrophyllum capitatum,1,
um4-2_w2_mo4-3,mo4-3,Monument,Monument4,4,warmed two steps,warmed two steps Monument,20170718,Hydrophyllum capitatum,Hydrophyllum capitatum,2,
pf5-2_w1_mo5-3,mo5-3,Monument,Monument5,5,warmed one step,warmed one step Monument,20170718,Hydrophyllum capitatum,Hydrophyllum capitatum,5,
mo1-3_nu_mo1-3,mo1-3,Monument,Monument1,1,netted untouched,netted untouched Monument,20170718,Helianthella quinquenervis,Helianthella quinquenervis,14,As clump
mo2-1_ws_mo2-3,mo2-3,Monument,Monument2,2,within site transplant,within site transplant Monument,20170718,Helianthella quinquenervis,Helianthella quinquenervis,0,As clump
um3-2_w2_mo3-3,mo3-3,Monument,Monument3,3,warmed two steps,warmed two steps Monument,20170718,Helianthella quinquenervis,Helianthella quinquenervis,4,As clump
um4-2_w2_mo4-3,mo4-3,Monument,Monument4,4,warmed two steps,warmed two steps Monument,20170718,Helianthella quinquenervis,Helianthella quinquenervis,23,As clump
pf5-2_w1_mo5-3,mo5-3,Monument,Monument5,5,warmed one step,warmed one step Monument,20170718,Helianthella quinquenervis,Helianthella quinquenervis,3,As clump
