turfID,originSite,destinationSite,destinationPlotID,originPlotID,treatment,treatmentOrigin,treatmentOriginGroup,year,date_yyyymmdd,functionalGroup,unknownMorpho,species,percentCover,occurrenceCount,comments,X1_1,X1_2,X1_3,X1_4,X1_5,X2_1,X2_2,X2_3,X2_4,X2_5,X3_1,X3_2,X3_3,X3_4,X3_5,X4_1,X4_2,X4_3,X4_4,X4_5,X5_1,X5_2,X5_3,X5_4,X5_5
um1-2_w2_mo1-5,Monument,Upper Montane,um1-2,mo1-5,warmed two steps,warmed two steps Monument,High W2,2019,20190708,forb,Agoseris glauca,Agoseris glauca,1,2,,,,,,S,,,,,,,,,,,,,,,S,,,,,
um1-2_w2_mo1-5,Monument,Upper Montane,um1-2,mo1-5,warmed two steps,warmed two steps Monument,High W2,2019,20190708,forb,Bromus carinatus,Bromus carinatus,8,13,Verified in field 7-28-19,S,F,F,,,,S,S,S,S,,,S,S,S,S,,,,F,,,,,S
um1-2_w2_mo1-5,Monument,Upper Montane,um1-2,mo1-5,warmed two steps,warmed two steps Monument,High W2,2019,20190708,forb,Hymenoxys hoopesii,Hymenoxys hoopesii,4,1,,SD,,,,,,,,,,,,,,,,,,,,,,,,
um1-2_w2_mo1-5,Monument,Upper Montane,um1-2,mo1-5,warmed two steps,warmed two steps Monument,High W2,2019,20190708,forb,Lathyrus lanszwertii,Lathyrus lanszwertii,3,6,,,,S,,,,,,,,,,,,S,S,,,,,F,S,,,F
um1-2_w2_mo1-5,Monument,Upper Montane,um1-2,mo1-5,warmed two steps,warmed two steps Monument,High W2,2019,20190708,forb,Ligusticum porteri,Ligusticum porteri,10,4,,,,,,,,,,,,,,,,,SD,S,,,,SD,S,,,
um1-2_w2_mo1-5,Monument,Upper Montane,um1-2,mo1-5,warmed two steps,warmed two steps Monument,High W2,2019,20190708,graminoid,Poa pratensis,Poa pratensis,1,1,,,,,,,,,,,,,,,,,,,,,,S,,,,
um1-2_w2_mo1-5,Monument,Upper Montane,um1-2,mo1-5,warmed two steps,warmed two steps Monument,High W2,2019,20190708,graminoid,Poa reflexa,Poa reflexa,13,12,,S,S,,,,S,S,,,,,,,,,S,S,S,S,S,,SD,,S,SD
um1-2_w2_mo1-5,Monument,Upper Montane,um1-2,mo1-5,warmed two steps,warmed two steps Monument,High W2,2019,20190708,forb,Senecio crassulus,Senecio crassulus,2,7,,,,,S,S,,,,,S,SE,,,,,,,,,,S,S,S,,
um1-2_w2_mo1-5,Monument,Upper Montane,um1-2,mo1-5,warmed two steps,warmed two steps Monument,High W2,2019,20190708,forb,unknown seedling,unknown seedling,1,6,,,,,,,,,,SE,,,,,,,SE,,,,,SE,SE,SE,SE,
um1-2_w2_mo1-5,Monument,Upper Montane,um1-2,mo1-5,warmed two steps,warmed two steps Monument,High W2,2019,20190708,forb,Viola sp.,Viola nuttallii,3,8,,,,,,S,SE,,,,SD,SE,SE,,,,,SE,F,,,,,S,,
um1-2_w2_mo1-5,Monument,Upper Montane,um1-2,mo1-5,warmed two steps,warmed two steps Monument,High W2,2019,20190708,forb,white mustard silicles,Noccaea fendleri,1,1,,,,,,,,,,,,,,,,,F,,,,,,,,,
um1-2_w2_mo1-5,Monument,Upper Montane,um1-2,mo1-5,warmed two steps,warmed two steps Monument,High W2,2019,20190708,forb,Salty Unknown,Atriplex argentea,1,4,,,,,,,S,,S,,,,,,,,,SE,,,SE,,,,,
um1-2_w2_mo1-5,Monument,Upper Montane,um1-2,mo1-5,warmed two steps,warmed two steps Monument,High W2,2019,20190708,forb,Delphinium nuttallianum,Delphinium nuttallianum,1,1,,,,,,,,S,,,,,,,,,,,,,,,,,,
um1-2_w2_mo1-5,Monument,Upper Montane,um1-2,mo1-5,warmed two steps,warmed two steps Monument,High W2,2019,20190708,forb,Heliomeris multiflora,Heliomeris multiflora,1,4,,,,,,,,,,,,S,,,,,,,,,S,S,S,,,
um1-2_w2_mo1-5,Monument,Upper Montane,um1-2,mo1-5,warmed two steps,warmed two steps Monument,High W2,2019,20190708,forb,Alternate long leaf forb,Polygonum douglasii,1,2,,,,,,,,,,,,,,,,,,,,,,,,SE,S,
