turfID,destinationSite,originSite,treatment,treatmentOrigin,treatmentOriginGroup,originSiteBlock
um1-2_w2_mo1-5,Upper Montane,Monument,warmed two steps,warmed two steps Monument,High W2,Monument1
um1-3_u_um1-3,Upper Montane,Upper Montane,untouched,untouched Upper Montane,Low Control,Upper Montane1
um1-4_ws_um1-1,Upper Montane,Upper Montane,within site transplant,within site transplant Upper Montane,Low Control,Upper Montane1
um1-5_w1_pf1-4,Upper Montane,Pfeiler,warmed one step,warmed one step Pfeiler,Mid W1,Pfeiler1
um2-1_w1_pf2-5,Upper Montane,Pfeiler,warmed one step,warmed one step Pfeiler,Mid W1,Pfeiler2
um2-2_u_um2-2,Upper Montane,Upper Montane,untouched,untouched Upper Montane,Low Control,Upper Montane2
um2-3_w2_mo2-1,Upper Montane,Monument,warmed two steps,warmed two steps Monument,High W2,Monument2
um2-4_nu_um2-4,Upper Montane,Upper Montane,netted untouched,netted untouched Upper Montane,Low Control,Upper Montane2
um2-5_ws_um2-5,Upper Montane,Upper Montane,within site transplant,within site transplant Upper Montane,Low Control,Upper Montane2
um3-1_u_um3-1,Upper Montane,Upper Montane,untouched,untouched Upper Montane,Low Control,Upper Montane3
um3-2_w2_mo3-3,Upper Montane,Monument,warmed two steps,warmed two steps Monument,High W2,Monument3
um3-3_ws_um3-3,Upper Montane,Upper Montane,within site transplant,within site transplant Upper Montane,Low Control,Upper Montane3
um3-4_w1_pf3-2,Upper Montane,Pfeiler,warmed one step,warmed one step Pfeiler,Mid W1,Pfeiler3
um3-5_nu_um3-5,Upper Montane,Upper Montane,netted untouched,netted untouched Upper Montane,Low Control,Upper Montane3
um4-1_w1_pf4-2,Upper Montane,Pfeiler,warmed one step,warmed one step Pfeiler,Mid W1,Pfeiler4
um4-2_w2_mo4-3,Upper Montane,Monument,warmed two steps,warmed two steps Monument,High W2,Monument4
um4-3_nu_um4-3,Upper Montane,Upper Montane,netted untouched,netted untouched Upper Montane,Low Control,Upper Montane4
um4-4_u_um4-4,Upper Montane,Upper Montane,untouched,untouched Upper Montane,Low Control,Upper Montane4
um4-5_ws_um4-5,Upper Montane,Upper Montane,within site transplant,within site transplant Upper Montane,Low Control,Upper Montane4
