"ASV_id","High Control","Low Control","Mid Control"
"1",2.41,1.99,2.74
"2",3.25,2.44,2.77
"4",3.57,3.74,NA
"5",3.85,3.15,3.99
"6",2.48,NA,3.21
"7",3.53,2.94,3.21
"8",2.64,3.78,NA
"9",3.23,2.57,2.83
"10",3.73,NA,3.14
"11",3.84,3.02,3.6
"12",3.22,2.67,2.99
"13",NA,3.42,NA
"14",3.7,4.16,3.96
"15",NA,3.51,NA
"16",4.59,4.74,4.21
"17",5.1,5.91,5.13
"18",3.66,NA,3.52
"19",4.03,3.65,4.41
"20",3.73,3.69,3.66
"21",3.29,NA,3.96
"22",2.79,3.17,3.1
"23",4.02,NA,3.66
"24",2.88,2.6,2.98
"25",3.09,NA,2.79
"26",2.87,2.22,NA
"27",4.03,4.07,4.11
"28",NA,3.33,3.13
"29",NA,3.33,NA
"30",3,NA,3.61
"31",3.18,3.43,3.74
"32",3,3.18,NA
"33",4.19,4.01,4.56
"34",3.33,NA,3.78
"35",3.64,3.74,4.27
"36",3.47,3.67,3.69
"37",4.16,4.08,NA
"38",NA,2.77,NA
"39",3.41,2.67,3.64
"40",3.43,3,NA
"41",NA,3.15,NA
"42",4.22,NA,4.14
"43",4.61,NA,NA
"44",NA,3.92,3.5
"45",3.95,NA,NA
"46",4.03,4.37,4.2
"47",3.45,3.23,3.33
"48",4.06,4,3.54
"49",3.64,3.86,3.65
"50",2.92,2.6,3.13
"51",3.3,3.08,NA
"52",4.64,3.97,3.93
"53",4.54,3.24,3.38
"54",4.26,NA,NA
"55",NA,4.33,3.66
"56",4.65,4.13,4.52
"57",4.28,NA,3.55
"59",2.4,2.41,NA
"60",NA,3.37,2.48
"61",NA,2.72,NA
"62",3.22,3.28,NA
"63",2.71,NA,NA
"64",3.12,2.3,2.48
"65",3.12,3.56,2.32
"66",3.59,3.13,3.55
"67",NA,3.43,3.22
"68",3.71,3.36,3.03
"69",3.01,2.82,3.33
"70",3.24,NA,3.34
"71",3.81,3.41,3.36
"72",3.85,3.6,3.69
"73",4.43,4.04,4.2
"74",3.81,3.33,4.05
"75",3.59,3.61,3.75
"77",3.43,NA,4.17
"79",3.66,3.13,3.96
"80",3.93,3.58,3.91
"81",3.61,NA,3.65
"82",NA,2.73,NA
"84",3.14,3.17,3.39
"85",3.74,3.53,4.02
"86",3.45,NA,NA
"87",NA,3.53,NA
"88",NA,3.61,3.78
"89",3.88,NA,4.33
"90",3.53,NA,3.32
"91",3.69,3.87,4.13
"92",3.58,3.69,3.84
"93",3.19,3.43,3.58
"94",3.61,NA,NA
"95",3.47,NA,3.45
"96",2.75,3.16,2.48
"97",3.53,2.56,3.14
"98",2.6,2.61,3.19
"99",3.53,3.42,2.77
"100",3.49,NA,NA
"101",NA,2.57,2.71
"102",3.27,3.42,3.72
"103",3.47,3.61,4.03
"104",4,3.66,NA
"105",NA,NA,3.84
"106",NA,4.44,4.39
"107",4.04,3.67,3.39
"108",3.33,3.31,3.41
"109",2.23,2.4,NA
"110",4.27,3.5,NA
"111",3.26,3.76,3.89
"112",3.73,3.64,3.52
"113",3.16,NA,3.47
"114",3.5,3.32,3.69
"115",3.42,NA,3.49
"116",NA,NA,3.67
"117",NA,3.71,NA
"118",3.14,3.87,3.87
"119",3.44,NA,NA
"120",3.29,3.66,3.46
"121",NA,NA,4.01
"122",3.1,2.61,3.07
"123",3.43,2.85,3.3
"124",3.03,NA,3.24
"125",3.43,3.04,3
"126",3.3,NA,3.33
"127",NA,NA,2.71
"128",2.96,3.31,3.18
"129",NA,NA,3.27
"130",3.53,3.49,4.03
"131",3.97,3.74,3.71
"132",4.11,3.61,NA
"133",3.51,3.96,3.8
"134",3.27,3.37,3.35
"135",NA,2.48,NA
"136",NA,NA,4.06
"137",3.61,NA,3.4
"138",3.28,NA,NA
"139",3.78,2.89,3.37
"140",2.71,2.54,2.74
"141",NA,3.29,NA
"142",1.39,3.22,2.71
"143",4.02,3.87,4.06
"144",3.12,3.36,2.97
"145",3.44,NA,3.66
"146",4,3.95,4.18
"147",NA,NA,3.85
"148",3.26,3.21,3.76
"149",3.32,2.7,3.35
"150",3,2.9,3.4
"151",3.6,NA,3.37
"153",NA,2.89,3.27
"154",3.85,NA,NA
"155",3.33,3.37,3.76
"156",3.42,3.31,2.5
"157",3.74,3.2,NA
"158",2.38,3.61,3.44
"159",3.26,2.62,3.12
"160",3.57,3.69,3.81
"161",3.37,2.47,2.44
"162",3.08,3.15,3.15
"163",2.08,2.95,NA
"164",3.25,3.13,2.94
"165",3.22,2.81,2.8
"166",3.65,3.4,3.69
"167",3.48,2.24,3.03
"168",4.08,3.56,4.02
"169",3.81,NA,NA
"171",NA,2.24,2.69
"172",NA,2.4,4.28
"173",2.38,2.07,2.62
"174",NA,NA,2.6
"175",NA,2.64,NA
