"treatmentOriginGroupCompare","eig RDA1","Df","F","p value","community"
"High Control and Low Control",227.712636092414,3,1.60857086723924,0.002,"bacteria and archaea"
"High Control and Mid Control",151.196029930854,3,1.16196188094225,0.165,"bacteria and archaea"
"Mid Control and Low Control",170.344747859909,3,1.35876450745795,0.025,"bacteria and archaea"
"High W2 and High Control (origin)",216.718418086974,3,1.5261831425221,0.003,"bacteria and archaea"
"High W2 and Low Control (destination)",138.878109222808,3,1.07872524702122,0.307,"bacteria and archaea"
"High W1 and High Control (origin)",165.571218068392,3,1.08532957742732,0.318,"bacteria and archaea"
"High W1 and Mid Control (destination)",153.76611788884,3,1.07996908188041,0.343,"bacteria and archaea"
"Mid W1 and Mid Control (origin)",132.724432841631,3,1.03293023412026,0.427,"bacteria and archaea"
"Mid W1 and Low Control (destination)",134.526219229119,3,1.13387568782688,0.178,"bacteria and archaea"
"Low C2 and Low Control (origin)",133.891636419779,3,1.16134295649691,0.188,"bacteria and archaea"
"Low C2 and High Control (destination)",208.308677240664,3,1.27472975901975,0.05,"bacteria and archaea"
"Low C1 and Low Control (origin)",157.720844833226,3,1.29618637185245,0.06,"bacteria and archaea"
"Low C1 and Mid Control (destination)",170.205705402228,3,1.09194582167442,0.282,"bacteria and archaea"
"Mid C1 and Mid Control (origin)",127.223237017559,3,1.07894653819729,0.353,"bacteria and archaea"
"Mid C1 and High Control (destination)",138.425745021425,3,1.00353042007824,0.482,"bacteria and archaea"
