"ASV_id","warmed_bacteria_gradient","warmed_bacteria","cooled_bacteria_gradient","cooled_bacteria","High Control","Low Control","Mid Control","Genus","Family","Phylum","Class","Order"
"1526",-0.46,-0.26,0.57,-0.26,3.22,NA,3.54,"mle1-7","Nitrosomonadaceae","Proteobacteria","Gammaproteobacteria","Burkholderiales"
"548",-0.6,-0.54,0.56,-0.36,4.03,NA,2.78,NA,NA,"Acidobacteria","Vicinamibacteria","Subgroup 17"
"1534",-0.43,-0.29,0.53,-0.41,4,2.98,3.65,NA,"SC-I-84","Proteobacteria","Gammaproteobacteria","Burkholderiales"
"984",-0.36,-0.21,0.52,-0.27,4,3.42,4.09,NA,"Gemmatimonadaceae","Gemmatimonadota","Gemmatimonadetes","Gemmatimonadales"
"113",-0.48,-0.45,0.51,-0.11,3.16,NA,3.47,NA,"Gemmataceae","Planctomycetota","Planctomycetes","Gemmatales"
"1316",-0.47,-0.33,0.51,-0.25,3.27,NA,3.45,"Gaiella","Gaiellaceae","Actinobacteria","Thermoleophilia","Gaiellales"
"42",-0.29,-0.19,0.5,-0.27,4.22,NA,4.14,NA,"WD2101 soil group","Planctomycetota","Phycisphaerae","Tepidisphaerales"
"529",-0.28,-0.1,0.5,-0.24,4.42,NA,4.1,"Candidatus Udaeobacter","Chthoniobacteraceae","Verrucomicrobiota","Verrucomicrobiae","Chthoniobacterales"
"1452",-0.27,-0.11,0.5,0.04,3.84,2.94,3.52,NA,NA,"Proteobacteria","Gammaproteobacteria","Burkholderiales"
"224",-0.34,-0.21,0.49,-0.2,3.69,2.48,3.83,NA,NA,"Actinobacteria","MB-A2-108",NA
"1064",-0.48,-0.32,0.48,-0.2,3.98,NA,4.27,"RB41","Pyrinomonadaceae","Acidobacteria","Blastocatellia","Pyrinomonadales"
"1112",-0.49,-0.46,0.48,-0.31,3.53,3.09,3.3,NA,NA,"Acidobacteria","Vicinamibacteria","Vicinamibacterales"
"1594",-0.18,-0.03,0.48,0.06,3.98,NA,4.31,"Pseudonocardia","Pseudonocardiaceae","Actinobacteria","Actinobacteria","Pseudonocardiales"
"669",-0.28,-0.17,0.47,0.02,2.98,NA,3.42,NA,"Acetobacteraceae","Proteobacteria","Alphaproteobacteria","Acetobacterales"
"378",-0.29,-0.2,0.45,-0.06,3.51,2.58,3.64,"YC-ZSS-LKJ147","Longimicrobiaceae","Gemmatimonadota","Longimicrobia","Longimicrobiales"
"1648",-0.52,-0.43,0.45,-0.27,3.7,3.22,3.89,NA,NA,"Acidobacteria","Blastocatellia","11-24"
"457",-0.37,-0.13,0.45,-0.28,3.55,NA,3.58,"Candidatus Udaeobacter","Chthoniobacteraceae","Verrucomicrobiota","Verrucomicrobiae","Chthoniobacterales"
"904",-0.27,-0.08,0.45,-0.28,3.49,3,3.31,NA,"Chitinophagaceae","Bacteroidota","Bacteroidia","Chitinophagales"
"1317",-0.32,-0.18,0.45,-0.11,3.03,NA,3.67,"Gaiella","Gaiellaceae","Actinobacteria","Thermoleophilia","Gaiellales"
"724",-0.38,-0.28,0.45,-0.33,4.1,4.08,4.34,NA,"KF-JG30-B3","Proteobacteria","Alphaproteobacteria","Rhizobiales"
"1022",-0.33,-0.17,0.45,-0.19,3.98,NA,4.03,"Gemmatimonas","Gemmatimonadaceae","Gemmatimonadota","Gemmatimonadetes","Gemmatimonadales"
"1307",-0.31,0,0.44,-0.46,3.72,3.78,4.11,NA,NA,"Actinobacteria","Thermoleophilia","Gaiellales"
"1151",-0.34,-0.2,0.44,-0.35,4.24,3.34,4.15,"Bryobacter","Bryobacteraceae","Acidobacteria","Acidobacteriae","Bryobacterales"
"1572",-0.27,-0.12,0.44,-0.07,2.76,2.14,3.32,NA,"A21b","Proteobacteria","Gammaproteobacteria","Burkholderiales"
"598",-0.49,-0.42,0.44,-0.11,3.47,NA,4.01,NA,NA,"Proteobacteria","Alphaproteobacteria","Elsterales"
"316",-0.39,-0.23,0.44,-0.17,3.34,NA,3.53,NA,NA,"Acidobacteria","Holophagae","Subgroup 7"
"339",-0.33,-0.1,0.44,-0.43,3.41,3.4,3.4,"Anaeromyxobacter","Anaeromyxobacteraceae","Myxococcota","Myxococcia","Myxococcales"
"1120",-0.31,-0.19,0.44,NA,3.41,NA,4.52,NA,NA,"Acidobacteria","Vicinamibacteria","Vicinamibacterales"
"1656",-0.33,-0.09,0.44,-0.42,4.23,3.79,4.28,NA,NA,"Chloroflexi","KD4-96",NA
"1055",-0.48,-0.52,0.44,NA,3.94,NA,4.74,"RB41","Pyrinomonadaceae","Acidobacteria","Blastocatellia","Pyrinomonadales"
"12",-0.46,-0.26,0.44,-0.44,3.22,2.67,2.99,NA,"Ilumatobacteraceae","Actinobacteria","Acidimicrobiia","Microtrichales"
"934",-0.22,-0.1,0.44,0.06,3.57,NA,4.19,"Ferruginibacter","Chitinophagaceae","Bacteroidota","Bacteroidia","Chitinophagales"
"1136",-0.22,0.04,0.44,-0.35,3.63,3.78,3.8,NA,"Gemmatimonadaceae","Gemmatimonadota","Gemmatimonadetes","Gemmatimonadales"
"226",-0.23,0.1,0.44,-0.26,2.76,2.55,3.46,NA,NA,"Actinobacteria","MB-A2-108",NA
"321",-0.35,-0.23,0.44,-0.29,3.27,1.7,2.26,NA,NA,"Myxococcota","Polyangia","MSB-4B10"
"1098",-0.37,-0.15,0.44,-0.43,4.46,3.25,4.02,NA,NA,"Acidobacteria","Vicinamibacteria","Vicinamibacterales"
"268",-0.36,-0.21,0.44,-0.23,3.21,2.94,2.93,NA,"Roseiflexaceae","Chloroflexi","Chloroflexia","Chloroflexales"
"330",-0.32,-0.21,0.44,-0.19,3.44,NA,4.57,"Acidibacter","Unknown Family","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria Incertae Sedis"
"440",-0.31,-0.18,0.43,-0.24,2.99,NA,3.05,"Candidatus Udaeobacter","Chthoniobacteraceae","Verrucomicrobiota","Verrucomicrobiae","Chthoniobacterales"
"894",-0.52,-0.46,0.43,-0.28,3.63,2.55,3.24,NA,NA,"Proteobacteria","Gammaproteobacteria","CCD24"
"1233",-0.41,-0.15,0.43,-0.29,3.4,2.23,3.43,NA,"Pseudonocardiaceae","Actinobacteria","Actinobacteria","Pseudonocardiales"
