"treatmentOriginGroupCompare","eig RDA1","Df","F","p value","community"
"High Control and Low Control",6.23248913113476,6,4.44609526848388,0.001,"plants"
"High Control and Mid Control",4.33771321078156,6,4.35764945404588,0.001,"plants"
"Mid Control and Low Control",4.72124685675974,6,3.98322732763397,0.001,"plants"
"High W2 and High Control (origin)",3.11495363818585,6,2.31930338552987,0.001,"plants"
"High W2 and Low Control (destination)",4.48743081780151,6,2.72699510059333,0.001,"plants"
"High W1 and High Control (origin)",2.01435176959228,6,1.8720644147138,0.001,"plants"
"High W1 and Mid Control (destination)",3.89424571482688,6,3.22889388246031,0.001,"plants"
"Mid W1 and Mid Control (origin)",3.30982935867408,6,2.99026615697966,0.001,"plants"
"Mid W1 and Low Control (destination)",3.60138702986781,6,2.50320298933265,0.001,"plants"
"Low C2 and Low Control (origin)",1.73643440103835,6,1.14082665209465,0.181,"plants"
"Low C2 and High Control (destination)",5.89080086344025,6,3.71059731064814,0.001,"plants"
"Low C1 and Low Control (origin)",1.48630223446245,6,1.09721842003801,0.27,"plants"
"Low C1 and Mid Control (destination)",4.29983088195422,6,3.59382865653088,0.001,"plants"
"Mid C1 and Mid Control (origin)",1.43631543197555,6,1.71155869014024,0.001,"plants"
"Mid C1 and High Control (destination)",3.85358781909234,6,2.65290344284199,0.001,"plants"
"High Control and Low Control",227.712636092414,3,1.60857086723924,0.002,"bacteria and archaea"
"High Control and Mid Control",151.196029930854,3,1.16196188094225,0.165,"bacteria and archaea"
"Mid Control and Low Control",170.344747859909,3,1.35876450745795,0.025,"bacteria and archaea"
"High W2 and High Control (origin)",216.718418086974,3,1.5261831425221,0.003,"bacteria and archaea"
"High W2 and Low Control (destination)",138.878109222808,3,1.07872524702122,0.307,"bacteria and archaea"
"High W1 and High Control (origin)",165.571218068392,3,1.08532957742732,0.318,"bacteria and archaea"
"High W1 and Mid Control (destination)",153.76611788884,3,1.07996908188041,0.343,"bacteria and archaea"
"Mid W1 and Mid Control (origin)",132.724432841631,3,1.03293023412026,0.427,"bacteria and archaea"
"Mid W1 and Low Control (destination)",134.526219229119,3,1.13387568782688,0.178,"bacteria and archaea"
"Low C2 and Low Control (origin)",133.891636419779,3,1.16134295649691,0.188,"bacteria and archaea"
"Low C2 and High Control (destination)",208.308677240664,3,1.27472975901975,0.05,"bacteria and archaea"
"Low C1 and Low Control (origin)",157.720844833226,3,1.29618637185245,0.06,"bacteria and archaea"
"Low C1 and Mid Control (destination)",170.205705402228,3,1.09194582167442,0.282,"bacteria and archaea"
"Mid C1 and Mid Control (origin)",127.223237017559,3,1.07894653819729,0.353,"bacteria and archaea"
"Mid C1 and High Control (destination)",138.425745021425,3,1.00353042007824,0.482,"bacteria and archaea"
"High Control and Low Control",109.959231372253,3,1.61371950980908,0.004,"fungi"
"High Control and Mid Control",84.8201968584113,3,1.38655659488406,0.024,"fungi"
"Mid Control and Low Control",81.4604366132335,3,1.34873196271129,0.022,"fungi"
"High W2 and High Control (origin)",69.3657326280262,3,1.18264234719751,0.15,"fungi"
"High W2 and Low Control (destination)",57.6700925176988,3,1.05970913054736,0.339,"fungi"
"High W1 and High Control (origin)",53.4922889298112,3,1.02819573045122,0.453,"fungi"
"High W1 and Mid Control (destination)",73.0883915278984,3,1.28155942539213,0.064,"fungi"
"Mid W1 and Mid Control (origin)",61.4395718839906,3,1.06364362526543,0.351,"fungi"
"Mid W1 and Low Control (destination)",47.7499312406549,3,1.00289266752333,0.478,"fungi"
"Low C2 and Low Control (origin)",47.3994127154485,3,1.03383051131871,0.43,"fungi"
"Low C2 and High Control (destination)",105.686547924149,3,1.4495510091277,0.018,"fungi"
"Low C1 and Low Control (origin)",68.71560817371,3,1.1761169123649,0.098,"fungi"
"Low C1 and Mid Control (destination)",71.855937649342,3,1.30810543253449,0.031,"fungi"
"Mid C1 and Mid Control (origin)",77.3936057477568,3,1.2200310702171,0.148,"fungi"
"Mid C1 and High Control (destination)",77.9978157706899,3,1.21772618131255,0.135,"fungi"
