"community","Treatment","mean","sd","n","se","significant"
"cooled_bacteria_gradient","Mid C1",-0.156811466861399,0.0798925292985754,3,0.0461259732967726,TRUE
"cooled_bacteria_gradient","Low C1",-0.0897667465902893,0.0357135530211327,3,0.0206192294504689,TRUE
"cooled_bacteria_gradient","Low C2",-0.0215116894269434,0.0627154514811419,3,0.0362087827949862,FALSE
"cooled_fungi_gradient","Mid C1",-0.197816734180712,0.0322589025036528,3,0.0186246860442459,TRUE
"cooled_fungi_gradient","Low C1",-0.143712770737042,0.107759930237685,3,0.0622152247305828,TRUE
"cooled_fungi_gradient","Low C2",-0.0443074242108069,0.0611955195940189,3,0.0353312497108058,FALSE
"cooled_plants_gradient","Mid C1",-0.0986472770375737,0.0114883190690979,6,0.00469008662026263,TRUE
"cooled_plants_gradient","Low C1",-0.0258458866489145,0.0354997725052239,6,0.0144927214371137,FALSE
"cooled_plants_gradient","Low C2",-0.0329625638827324,0.0347282582062655,6,0.0141777520434955,TRUE
"warmed_bacteria_gradient","High W1",0.118555848425639,0.0914583581517458,3,0.0528035076985517,TRUE
"warmed_bacteria_gradient","High W2",0.203521306596161,0.209093212255497,3,0.120720022381435,FALSE
"warmed_bacteria_gradient","Mid W1",0.239941987502136,0.123064200473434,3,0.0710511492709432,TRUE
"warmed_fungi_gradient","High W1",0.0828527860466449,0.0471051407918897,3,0.0271961657164127,TRUE
"warmed_fungi_gradient","High W2",0.189093108515354,0.057727802104477,3,0.0333291620847453,TRUE
"warmed_fungi_gradient","Mid W1",0.255817861196791,0.00934513456970725,3,0.00539541595943376,TRUE
"warmed_plants_gradient","High W1",0.00119049314828988,0.0192121646087405,6,0.00784333335762862,FALSE
"warmed_plants_gradient","High W2",0.0325444749698839,0.0196240676937748,6,0.00801149208793069,TRUE
"warmed_plants_gradient","Mid W1",0.0868486273546965,0.0239006896985869,6,0.00975741571035535,TRUE
