"ASV_id","High Control","Low Control","Mid Control"
1,3.79,3.21,1.79
2,3.83,NA,2.06
3,4.96,2.68,2.06
4,4.43,1.39,NA
5,2.89,NA,5.17
6,NA,2.89,3.53
7,5.05,3.14,NA
8,5.28,NA,NA
9,1.39,3.16,1.61
10,2.95,4.03,2.56
11,4.65,5.89,3.66
12,3.12,3.93,3.02
13,3.26,NA,3.18
14,4.41,NA,4.38
15,4.42,NA,3.71
16,3.5,NA,NA
17,3.22,4.31,3.58
18,NA,3.01,2.89
19,NA,5.15,NA
20,NA,3.02,NA
21,3.01,1.39,NA
22,2.08,1.39,1.98
23,3.91,4.08,NA
24,2.98,3.02,3.37
25,NA,2.77,NA
26,NA,3.95,4.3
27,3.22,NA,3.43
28,2.64,NA,2.64
29,1.39,2.79,NA
30,3.34,3.15,4.4
31,NA,3.33,4.48
32,NA,3.79,NA
33,NA,2.6,2.42
34,1.1,2.94,1.79
35,1.79,5.76,2.72
36,NA,3.28,3.22
37,3.14,2.03,1.61
38,NA,3.21,NA
39,NA,5.43,5.48
40,NA,4.3,3.18
41,2.4,3.58,NA
42,3.21,NA,NA
44,NA,3.74,NA
45,2.36,2.57,1.57
46,NA,2.53,NA
47,3.09,2.78,2.68
48,3.87,3.45,3.03
49,NA,4.74,5.04
50,1.39,3.55,3.53
51,1.24,2.65,NA
52,1.79,NA,NA
53,5.65,4.73,NA
54,NA,1.95,2.58
55,NA,3.73,NA
56,NA,3.85,NA
57,2.95,NA,NA
58,3.13,5.79,2.33
59,2.11,2.44,2.27
60,3.28,4.65,2.71
61,2.89,2.34,NA
62,2.31,NA,NA
63,2.77,4.17,3.71
64,3.06,NA,3.17
65,3,3.73,3.87
66,4.14,2.8,3.92
67,4,1.97,NA
68,3.09,5.56,3.13
69,2.71,5,3.36
70,NA,4.17,NA
71,2.73,4.04,NA
72,NA,4.8,NA
73,3.03,2.29,2.83
74,1.61,1.79,3.76
75,3.77,NA,NA
76,4.05,3.33,2.56
77,4.22,NA,3.36
78,2.5,4.18,1.33
79,4.42,2.94,NA
80,3.25,4.22,NA
81,3.76,1.1,NA
82,3.41,2.09,NA
84,5.16,3.89,2.2
85,3.65,NA,NA
86,3.55,NA,1.1
87,NA,3.76,NA
88,3.01,4.42,2.35
89,3.33,4.93,NA
90,NA,4.64,NA
91,NA,3.44,2.94
92,4.3,3.84,NA
93,5.31,NA,5.49
94,5.46,NA,NA
95,NA,4.44,NA
96,4.84,NA,NA
97,4.06,5.5,4.49
98,1.79,3.3,NA
99,6.9,4.48,3.64
100,2.75,2.33,1.96
102,2.24,5.35,4.4
103,NA,NA,4.13
104,4.93,4.84,4.8
105,NA,4.41,5.28
106,2.67,2.8,2.44
107,3.04,NA,2.83
108,2.98,3.19,NA
109,4.21,3.21,4.36
110,3.95,NA,4.43
111,3.22,3.39,4.26
112,3.89,2.93,4.32
113,NA,NA,3.16
114,1.61,4.44,NA
115,5.27,1.55,2.85
116,4.45,3.97,NA
117,3.34,NA,3.4
118,NA,3.05,NA
119,2.08,1.87,3.73
120,1.44,2.43,1.78
121,2.2,3,1.1
122,NA,3.25,5.08
123,6.07,2.57,2.33
124,2.2,3.07,NA
125,3.04,2.72,2.01
126,NA,1.39,1.39
127,5.44,NA,4.57
128,NA,4.43,2.83
129,3.76,4.26,NA
130,NA,1.59,NA
131,2.54,2.54,1.52
132,3.23,4.61,3.69
133,2.79,3.15,3.43
134,3.45,NA,NA
135,4.03,NA,1.39
137,NA,3.52,NA
138,NA,4.98,NA
139,3.04,3.5,2.37
140,3.34,2.55,3.59
141,1.69,2.2,2.21
142,3.28,2.91,2.56
143,3.82,4.65,3.42
144,NA,4.2,2.64
145,3.7,NA,3.04
146,NA,3.42,3.05
148,3.08,NA,2.4
149,4.01,2.71,3
150,3.98,NA,NA
151,3,3.81,3.04
152,NA,NA,3.09
153,3.82,3.83,2.88
154,5.09,6.38,4.75
155,3.9,1.39,NA
156,1.84,2.85,NA
157,1.39,4.45,1.39
158,2.05,2.63,2.36
159,NA,4.22,NA
160,4.59,6.15,4.46
161,2.14,3.71,2.66
162,2.85,3.51,3.23
163,NA,4.15,4.04
164,NA,2.32,3.45
165,5.14,NA,NA
166,NA,3.1,3.01
167,2.83,3.46,3.42
168,NA,1.43,NA
169,NA,3.42,NA
170,NA,5.1,NA
171,NA,3.7,3.66
172,4.13,2.94,2.88
173,NA,5.17,NA
174,2.33,4.21,NA
175,2.71,4.95,4.94
176,4.51,5.74,3.7
177,4.25,3.85,NA
178,NA,4.77,1.95
179,NA,4.05,NA
180,NA,3.13,3.22
181,3.9,3.73,2.68
183,4.09,3.06,6.63
184,4.89,NA,NA
185,1.39,2.57,NA
186,NA,2.2,NA
187,2.51,3.35,NA
188,2.89,NA,NA
190,NA,3.26,3.47
191,NA,2.59,2.39
192,2.95,3.58,2.62
193,4,NA,NA
194,NA,4.18,3.58
195,3.15,4.62,3.84
196,2.76,3.26,2.63
197,2.68,NA,NA
198,4.32,5.51,4.48
199,3.46,2.47,2.66
200,NA,4,NA
201,5.09,3.98,4.32
202,5.09,4.61,4.45
203,4.58,NA,4.7
204,4.77,5.03,5
205,NA,6.36,8.42
206,NA,NA,3.14
207,3.4,5.16,2.35
208,4.25,NA,NA
209,4.96,NA,2.3
210,5.87,5.28,4.36
211,6.73,4.19,4.55
212,5.26,NA,NA
213,3.48,NA,NA
214,3.34,NA,4.38
215,3.13,4.52,3.3
216,NA,3.68,NA
217,3,2.3,1.61
219,2.88,2.3,1.95
220,NA,4.35,NA
221,3.04,NA,2.59
222,6.83,5.59,4.08
223,NA,4.4,NA
224,2.92,5.1,7.08
225,3.14,NA,NA
226,NA,2.59,NA
227,2.95,NA,1.59
228,2.17,NA,2.32
229,2.2,3.32,4.2
230,4.35,4.1,5.32
231,3.4,3.97,2.83
232,2.22,4.06,3.5
233,NA,1.59,1.1
234,4.53,2.44,1.61
235,4.14,NA,2.77
237,2.57,3.88,3.45
238,NA,5.61,3.61
239,3.64,NA,NA
240,NA,NA,2.4
241,3,3.66,3.74
243,NA,2.4,3.93
244,5.15,NA,2.82
245,4.74,5.24,NA
246,6.51,1.76,3.67
247,4.32,4.31,1.1
248,3.5,4.76,2.85
249,NA,2.77,NA
250,NA,3.14,NA
251,NA,2.54,3.26
252,2.55,0.69,1.61
254,2.6,3.78,2.9
255,3.65,3.37,3.29
257,NA,2.89,NA
258,NA,7.46,NA
259,3.08,1.94,2.86
260,3.65,6.14,4.37
261,NA,3.42,NA
262,NA,2.97,NA
263,4.31,2.48,2.48
264,3.86,3.22,NA
265,NA,3.09,NA
266,1.52,3.01,3.18
267,2.68,1.39,2.44
268,NA,4.58,NA
269,NA,NA,4.84
270,1.1,2.77,NA
271,2.3,2.78,NA
272,NA,3.35,NA
273,NA,3.19,2.2
274,3.11,2.2,2.24
275,NA,2.93,NA
276,2.89,3.04,NA
277,2.67,1.39,2.21
278,4.82,NA,NA
279,2.91,2.19,NA
280,NA,NA,3.74
281,4.98,NA,3.73
282,NA,4.59,NA
283,NA,3.31,3.24
284,2.64,2.47,2.3
285,3.68,3.5,NA
286,4.85,2.68,3.76
287,4.5,2.99,2.53
288,3.06,3.3,2.88
289,2.61,4.42,2.84
290,3.74,3.06,4.6
291,NA,NA,1.1
292,2.79,5.05,3.07
293,2.13,3.99,4.98
294,NA,NA,4.63
295,NA,2.49,NA
296,3.01,3.77,3.55
297,2.1,1.92,2.92
298,4.76,4.39,4.21
299,3.55,4.3,3.35
300,NA,2.48,3.06
301,NA,3.27,NA
302,3.33,4.82,2.49
303,NA,3.67,4.04
304,3.56,2.73,4.57
305,5.04,NA,NA
306,3.32,4.03,3.82
307,NA,3.67,NA
308,3.61,5.16,NA
309,NA,NA,4.57
310,NA,3.14,NA
311,3.2,3.66,3.86
312,NA,4.66,2.48
