"treatmentOriginGroupCompare","eig RDA1","Df","F","p value","community"
"High Control and Low Control",109.959231372253,3,1.61371950980908,0.004,"fungi"
"High Control and Mid Control",84.8201968584113,3,1.38655659488406,0.024,"fungi"
"Mid Control and Low Control",81.4604366132335,3,1.34873196271129,0.022,"fungi"
"High W2 and High Control (origin)",69.3657326280262,3,1.18264234719751,0.15,"fungi"
"High W2 and Low Control (destination)",57.6700925176988,3,1.05970913054736,0.339,"fungi"
"High W1 and High Control (origin)",53.4922889298112,3,1.02819573045122,0.453,"fungi"
"High W1 and Mid Control (destination)",73.0883915278984,3,1.28155942539213,0.064,"fungi"
"Mid W1 and Mid Control (origin)",61.4395718839906,3,1.06364362526543,0.351,"fungi"
"Mid W1 and Low Control (destination)",47.7499312406549,3,1.00289266752333,0.478,"fungi"
"Low C2 and Low Control (origin)",47.3994127154485,3,1.03383051131871,0.43,"fungi"
"Low C2 and High Control (destination)",105.686547924149,3,1.4495510091277,0.018,"fungi"
"Low C1 and Low Control (origin)",68.71560817371,3,1.1761169123649,0.098,"fungi"
"Low C1 and Mid Control (destination)",71.855937649342,3,1.30810543253449,0.031,"fungi"
"Mid C1 and Mid Control (origin)",77.3936057477568,3,1.2200310702171,0.148,"fungi"
"Mid C1 and High Control (destination)",77.9978157706899,3,1.21772618131255,0.135,"fungi"
