"ASV_id","warmed_fungi_gradient","warmed_fungi","cooled_fungi_gradient","cooled_fungi","High Control","Low Control","Mid Control","Genus","Family","Class","Order","Phylum"
605,-0.519497462196336,-0.174527253897136,0.610068145635905,0.505639005741696,3.1,2.07,2.85,NA,NA,"GS37","GS37","Ascomycota"
355,-0.569505017144971,-0.387612979721101,0.546847468172023,0.474341291735283,6.66,5.17,5.46,"Laetinaevia","Dermateaceae","Leotiomycetes","Helotiales","Ascomycota"
640,-0.563813209223412,-0.557943868697941,0.546511088061594,0.121429325956325,3.25,NA,1.39,"Clavaria","Clavariaceae","Agaricomycetes","Agaricales","Basidiomycota"
346,-0.57718203031498,-0.502048067456654,0.53621374231636,0.35198195848289,4.21,4.55,3.69,"Tetracladium","Helotiaceae","Leotiomycetes","Helotiales","Ascomycota"
417,-0.54958147832752,-0.178288333799368,0.53605037481322,0.601098877322794,5.47,3.68,4.34,"Endophoma","Didymellaceae","Dothideomycetes","Pleosporales","Ascomycota"
227,-0.412921934286752,-0.243962638129402,0.531558008922195,0.431421529679979,2.95,NA,1.59,"Cryptosporiopsis","Dermateaceae","Leotiomycetes","Helotiales","Ascomycota"
184,-0.588134509058087,-0.548048761492302,0.527518767610078,0.320966909846295,4.89,NA,NA,NA,NA,NA,NA,"Ascomycota"
299,-0.443816269154155,-0.2211906638285,0.523171790216882,0.551914840220809,3.55,4.3,3.35,NA,NA,"Eurotiomycetes",NA,"Ascomycota"
633,-0.469458604675185,-0.381097209931363,0.518742643286414,0.490281205211312,4.51,NA,NA,NA,NA,NA,NA,"Ascomycota"
319,-0.417026093353253,-0.206901343626144,0.518448481947685,0.536406431357816,3.55,2.37,2.42,NA,"Herpotrichiellaceae","Eurotiomycetes","Chaetothyriales","Ascomycota"
336,-0.50322350216497,-0.0905535336167473,0.517419522445853,0.479280733057787,5.11,4.06,5.56,"Knufia","Trichomeriaceae","Eurotiomycetes","Chaetothyriales","Ascomycota"
