Plant species,Plant family,High control mean proportional cover (%),Mid control mean proportional cover (%),Low control mean proportional cover (%),Warmed gradient PRC weight,Warmed experiment PRC weight,Cooled gradient PRC weight,Cooled experiment PRC weight
Achillea millefolium,Asteraceae,0.0,0.2,33.3,1.86,1.42,-1.77,-1.15
Poa pratensis,Poaceae,0.0,0.0,41.4,1.78,0.22,-1.82,-1.12
Stipa nelsonii,Poaceae,0.0,0.0,20.7,1.42,1.04,-1.34,-0.90
Potentilla pulcherrima,Rosaceae,5.0,26.7,41.5,1.42,1.42,-1.31,-0.33
Lathyrus lanszwertii,Fabaceae,0.0,11.9,27.4,1.40,1.08,-1.25,-0.36
Viola nuttallii,Violaceae,2.8,10.0,27.1,1.37,1.11,-1.23,-0.58
Delphinium nuttallianum,Ranunculaceae,0.0,0.0,6.3,1.29,0.87,-1.28,-0.76
Valeriana occidentalis,Valerianaceae,0.0,0.0,18.4,1.23,NA,-1.19,-0.70
Melica spectabilis,Poaceae,0.0,3.3,5.1,1.09,1.16,-0.98,-0.66
Carex sp.,Cyperaceae,0.0,1.5,9.3,1.03,1.00,-0.76,0.12
Taraxacum officinale,Asteraceae,0.1,0.9,9.2,0.98,0.72,-0.96,-0.65
Agoseris aurantiaca,Asteraceae,0.0,0.0,4.6,0.96,0.35,-1.03,-0.63
Mertensia fusiformis,Boraginaceae,0.0,0.7,3.9,0.95,1.09,-1.02,-0.40
Draba spectabilis,Brassicaceae,0.0,0.0,2.0,0.93,-0.08,-0.95,-0.52
Vicia americana,Fabaceae,0.0,1.0,3.1,0.78,1.01,-0.46,0.27
Senecio integerrimus,Asteraceae,0.0,0.0,4.3,0.66,0.40,-0.60,-0.41
Collomia linearis,Polemoniaceae,0.0,0.2,5.5,0.55,0.27,-0.69,-0.29
Tragopogon dubius,Asteraceae,0.0,0.0,1.0,0.55,0.43,-0.68,-0.45
Galium bifolium,Rubiaceae,0.0,0.0,2.6,0.51,NA,-0.58,-0.32
Artemisia tridentata,Asteraceae,0.0,0.0,3.1,0.49,0.23,-0.45,-0.31
Festuca thurberi,Poaceae,0.0,0.0,2.8,0.48,NA,-0.48,-0.29
Atriplex argentea,Chenopodiaceae,0.0,0.0,0.7,0.46,0.62,-0.49,-0.26
Elymus repens,Poaceae,0.4,10.1,5.5,0.41,1.17,-0.18,-0.34
