community,ASV_id,LogAbundance_HighControl,LogAbundance_MidControl,LogAbundance_LowControl,weight_warmed_gradient,weight_warmed_experiment,weight_cooled_gradient,weight_cooled_experiment,Genus,Family,Phylum,Class,Order
bacteria and archaea,1526,3.22,3.54,NA,-0.46,-0.26,0.57,-0.26,mle1-7,Nitrosomonadaceae,Proteobacteria,Gammaproteobacteria,Burkholderiales
bacteria and archaea,548,4.03,2.78,NA,-0.6,-0.54,0.56,-0.36,NA,NA,Acidobacteria,Vicinamibacteria,Subgroup 17
bacteria and archaea,1534,4,3.65,2.98,-0.43,-0.29,0.53,-0.41,NA,SC-I-84,Proteobacteria,Gammaproteobacteria,Burkholderiales
bacteria and archaea,984,4,4.09,3.42,-0.36,-0.21,0.52,-0.27,NA,Gemmatimonadaceae,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales
bacteria and archaea,113,3.16,3.47,NA,-0.48,-0.45,0.51,-0.11,NA,Gemmataceae,Planctomycetota,Planctomycetes,Gemmatales
bacteria and archaea,1316,3.27,3.45,NA,-0.47,-0.33,0.51,-0.25,Gaiella,Gaiellaceae,Actinobacteria,Thermoleophilia,Gaiellales
bacteria and archaea,42,4.22,4.14,NA,-0.29,-0.19,0.5,-0.27,NA,WD2101 soil group,Planctomycetota,Phycisphaerae,Tepidisphaerales
bacteria and archaea,529,4.42,4.1,NA,-0.28,-0.1,0.5,-0.24,Candidatus Udaeobacter,Chthoniobacteraceae,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales
bacteria and archaea,1452,3.84,3.52,2.94,-0.27,-0.11,0.5,0.04,NA,NA,Proteobacteria,Gammaproteobacteria,Burkholderiales
bacteria and archaea,224,3.69,3.83,2.48,-0.34,-0.21,0.49,-0.2,NA,NA,Actinobacteria,MB-A2-108,NA
bacteria and archaea,1064,3.98,4.27,NA,-0.48,-0.32,0.48,-0.2,RB41,Pyrinomonadaceae,Acidobacteria,Blastocatellia,Pyrinomonadales
bacteria and archaea,1112,3.53,3.3,3.09,-0.49,-0.46,0.48,-0.31,NA,NA,Acidobacteria,Vicinamibacteria,Vicinamibacterales
bacteria and archaea,1594,3.98,4.31,NA,-0.18,-0.03,0.48,0.06,Pseudonocardia,Pseudonocardiaceae,Actinobacteria,Actinobacteria,Pseudonocardiales
bacteria and archaea,669,2.98,3.42,NA,-0.28,-0.17,0.47,0.02,NA,Acetobacteraceae,Proteobacteria,Alphaproteobacteria,Acetobacterales
bacteria and archaea,378,3.51,3.64,2.58,-0.29,-0.2,0.45,-0.06,YC-ZSS-LKJ147,Longimicrobiaceae,Gemmatimonadota,Longimicrobia,Longimicrobiales
bacteria and archaea,1648,3.7,3.89,3.22,-0.52,-0.43,0.45,-0.27,NA,NA,Acidobacteria,Blastocatellia,11-24
bacteria and archaea,457,3.55,3.58,NA,-0.37,-0.13,0.45,-0.28,Candidatus Udaeobacter,Chthoniobacteraceae,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales
bacteria and archaea,904,3.49,3.31,3,-0.27,-0.08,0.45,-0.28,NA,Chitinophagaceae,Bacteroidota,Bacteroidia,Chitinophagales
bacteria and archaea,1317,3.03,3.67,NA,-0.32,-0.18,0.45,-0.11,Gaiella,Gaiellaceae,Actinobacteria,Thermoleophilia,Gaiellales
bacteria and archaea,724,4.1,4.34,4.08,-0.38,-0.28,0.45,-0.33,NA,KF-JG30-B3,Proteobacteria,Alphaproteobacteria,Rhizobiales
bacteria and archaea,1022,3.98,4.03,NA,-0.33,-0.17,0.45,-0.19,Gemmatimonas,Gemmatimonadaceae,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales
bacteria and archaea,1307,3.72,4.11,3.78,-0.31,0,0.44,-0.46,NA,NA,Actinobacteria,Thermoleophilia,Gaiellales
bacteria and archaea,1151,4.24,4.15,3.34,-0.34,-0.2,0.44,-0.35,Bryobacter,Bryobacteraceae,Acidobacteria,Acidobacteriae,Bryobacterales
bacteria and archaea,1572,2.76,3.32,2.14,-0.27,-0.12,0.44,-0.07,NA,A21b,Proteobacteria,Gammaproteobacteria,Burkholderiales
bacteria and archaea,598,3.47,4.01,NA,-0.49,-0.42,0.44,-0.11,NA,NA,Proteobacteria,Alphaproteobacteria,Elsterales
bacteria and archaea,316,3.34,3.53,NA,-0.39,-0.23,0.44,-0.17,NA,NA,Acidobacteria,Holophagae,Subgroup 7
bacteria and archaea,339,3.41,3.4,3.4,-0.33,-0.1,0.44,-0.43,Anaeromyxobacter,Anaeromyxobacteraceae,Myxococcota,Myxococcia,Myxococcales
bacteria and archaea,1120,3.41,4.52,NA,-0.31,-0.19,0.44,NA,NA,NA,Acidobacteria,Vicinamibacteria,Vicinamibacterales
bacteria and archaea,1656,4.23,4.28,3.79,-0.33,-0.09,0.44,-0.42,NA,NA,Chloroflexi,KD4-96,NA
bacteria and archaea,1055,3.94,4.74,NA,-0.48,-0.52,0.44,NA,RB41,Pyrinomonadaceae,Acidobacteria,Blastocatellia,Pyrinomonadales
bacteria and archaea,12,3.22,2.99,2.67,-0.46,-0.26,0.44,-0.44,NA,Ilumatobacteraceae,Actinobacteria,Acidimicrobiia,Microtrichales
bacteria and archaea,934,3.57,4.19,NA,-0.22,-0.1,0.44,0.06,Ferruginibacter,Chitinophagaceae,Bacteroidota,Bacteroidia,Chitinophagales
bacteria and archaea,1136,3.63,3.8,3.78,-0.22,0.04,0.44,-0.35,NA,Gemmatimonadaceae,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales
bacteria and archaea,226,2.76,3.46,2.55,-0.23,0.1,0.44,-0.26,NA,NA,Actinobacteria,MB-A2-108,NA
bacteria and archaea,321,3.27,2.26,1.7,-0.35,-0.23,0.44,-0.29,NA,NA,Myxococcota,Polyangia,MSB-4B10
bacteria and archaea,1098,4.46,4.02,3.25,-0.37,-0.15,0.44,-0.43,NA,NA,Acidobacteria,Vicinamibacteria,Vicinamibacterales
bacteria and archaea,268,3.21,2.93,2.94,-0.36,-0.21,0.44,-0.23,NA,Roseiflexaceae,Chloroflexi,Chloroflexia,Chloroflexales
bacteria and archaea,330,3.44,4.57,NA,-0.32,-0.21,0.44,-0.19,Acidibacter,Unknown Family,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria Incertae Sedis
bacteria and archaea,440,2.99,3.05,NA,-0.31,-0.18,0.43,-0.24,Candidatus Udaeobacter,Chthoniobacteraceae,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales
bacteria and archaea,894,3.63,3.24,2.55,-0.52,-0.46,0.43,-0.28,NA,NA,Proteobacteria,Gammaproteobacteria,CCD24
bacteria and archaea,1233,3.4,3.43,2.23,-0.41,-0.15,0.43,-0.29,NA,Pseudonocardiaceae,Actinobacteria,Actinobacteria,Pseudonocardiales
bacteria and archaea,1663,3.39,1.59,NA,-0.5,-0.45,0.43,-0.15,NA,Mitochondria,Proteobacteria,Alphaproteobacteria,Rickettsiales
bacteria and archaea,89,3.88,4.33,NA,-0.49,-0.36,0.42,-0.21,NA,WD2101 soil group,Planctomycetota,Phycisphaerae,Tepidisphaerales
bacteria and archaea,976,3,3.23,2.4,-0.23,-0.03,0.42,-0.17,NA,NA,Bacteroidota,Bacteroidia,Cytophagales
bacteria and archaea,95,3.47,3.45,NA,-0.21,0.03,0.42,-0.2,NA,WD2101 soil group,Planctomycetota,Phycisphaerae,Tepidisphaerales
bacteria and archaea,637,4.15,4.45,2.94,-0.34,-0.13,0.42,-0.34,Rhodoplanes,Xanthobacteraceae,Proteobacteria,Alphaproteobacteria,Rhizobiales
bacteria and archaea,331,4.17,3.5,NA,-0.47,-0.45,0.42,-0.25,NA,NA,Proteobacteria,Gammaproteobacteria,JG36-TzT-191
bacteria and archaea,10,3.73,3.14,NA,-0.51,-0.45,0.42,-0.36,NA,NA,Latescibacterota,NA,NA
bacteria and archaea,1560,5.09,4.56,4.14,-0.31,-0.14,0.42,-0.31,Ellin6067,Nitrosomonadaceae,Proteobacteria,Gammaproteobacteria,Burkholderiales
bacteria and archaea,65,3.12,2.32,3.56,-0.28,-0.2,0.42,-0.23,NA,Sandaracinaceae,Myxococcota,Polyangia,Polyangiales
bacteria and archaea,1057,4.77,4.39,NA,-0.4,-0.25,0.41,-0.2,RB41,Pyrinomonadaceae,Acidobacteria,Blastocatellia,Pyrinomonadales
bacteria and archaea,1024,3.98,4.53,3.99,-0.35,-0.27,0.41,-0.3,Gemmatimonas,Gemmatimonadaceae,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales
bacteria and archaea,1159,4.31,4.25,NA,-0.33,-0.21,0.41,-0.28,Candidatus Solibacter,Solibacteraceae,Acidobacteria,Acidobacteriae,Solibacterales
bacteria and archaea,610,3.61,3.42,2.89,-0.3,-0.14,0.41,-0.28,Variibacter,Xanthobacteraceae,Proteobacteria,Alphaproteobacteria,Rhizobiales
bacteria and archaea,1058,4.43,4.61,NA,-0.38,-0.29,0.41,0.01,RB41,Pyrinomonadaceae,Acidobacteria,Blastocatellia,Pyrinomonadales
bacteria and archaea,300,3.36,3.24,NA,-0.41,-0.34,0.41,-0.12,Vicinamibacter,Vicinamibacteraceae,Acidobacteria,Vicinamibacteria,Vicinamibacterales
bacteria and archaea,865,3.5,2.59,NA,-0.47,-0.37,0.41,-0.36,NA,NA,Acidobacteria,Subgroup 22,NA
bacteria and archaea,328,3.57,4.08,NA,-0.32,-0.13,0.41,-0.15,Acidibacter,Unknown Family,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria Incertae Sedis
bacteria and archaea,1030,3.4,NA,NA,-0.3,-0.28,0.41,0.06,NA,NA,Desulfobacterota,NA,NA
bacteria and archaea,1404,4.24,4.56,4.55,-0.28,-0.11,0.41,0,Solirubrobacter,Solirubrobacteraceae,Actinobacteria,Thermoleophilia,Solirubrobacterales
bacteria and archaea,1114,3.86,4.11,3.37,-0.25,0,0.4,-0.27,NA,NA,Acidobacteria,Vicinamibacteria,Vicinamibacterales
bacteria and archaea,1059,3.93,3.27,NA,-0.37,-0.29,0.4,-0.24,RB41,Pyrinomonadaceae,Acidobacteria,Blastocatellia,Pyrinomonadales
bacteria and archaea,645,4.11,4.19,3.58,-0.29,-0.09,0.4,-0.26,Microvirga,Beijerinckiaceae,Proteobacteria,Alphaproteobacteria,Rhizobiales
bacteria and archaea,961,3.83,3.1,1.61,-0.31,-0.09,0.4,-0.27,NA,NA,Bacteroidota,Bacteroidia,Chitinophagales
bacteria and archaea,595,3.73,3.89,3.14,-0.42,-0.33,0.4,-0.12,Dongia,Dongiaceae,Proteobacteria,Alphaproteobacteria,Dongiales
bacteria and archaea,733,3.74,3.64,NA,-0.5,-0.46,0.4,-0.21,NA,Micropepsaceae,Proteobacteria,Alphaproteobacteria,Micropepsales
bacteria and archaea,1032,3.96,2.96,2.4,-0.42,-0.28,0.4,-0.42,NA,NA,Latescibacterota,NA,NA
bacteria and archaea,1134,4.62,4.58,4.58,-0.29,-0.09,0.4,-0.31,NA,Gemmatimonadaceae,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales
bacteria and archaea,367,3.88,3.83,3.89,-0.38,-0.19,0.4,-0.2,Roseisolibacter,Gemmatimonadaceae,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales
bacteria and archaea,281,3.24,2.67,NA,-0.32,-0.2,0.4,-0.35,NA,WD2101 soil group,Planctomycetota,Phycisphaerae,Tepidisphaerales
bacteria and archaea,1126,3.15,3.91,2.94,-0.29,-0.16,0.4,-0.18,NA,NA,Acidobacteria,Vicinamibacteria,Vicinamibacterales
bacteria and archaea,1272,3.1,3.65,NA,-0.41,-0.31,0.4,-0.23,NA,67-14,Actinobacteria,Thermoleophilia,Solirubrobacterales
bacteria and archaea,650,4.74,4.79,NA,-0.39,-0.3,0.39,-0.24,Afipia,Xanthobacteraceae,Proteobacteria,Alphaproteobacteria,Rhizobiales
bacteria and archaea,1293,3.12,3.26,3.26,-0.18,0.01,0.39,-0.26,NA,67-14,Actinobacteria,Thermoleophilia,Solirubrobacterales
bacteria and archaea,941,3.02,3.47,NA,-0.24,-0.11,0.39,NA,Segetibacter,Chitinophagaceae,Bacteroidota,Bacteroidia,Chitinophagales
bacteria and archaea,652,4.75,3.64,NA,-0.3,-0.27,0.39,NA,Afipia,Xanthobacteraceae,Proteobacteria,Alphaproteobacteria,Rhizobiales
bacteria and archaea,1147,3.39,3.37,NA,-0.4,-0.25,0.39,-0.28,Bryobacter,Bryobacteraceae,Acidobacteria,Acidobacteriae,Bryobacterales
bacteria and archaea,988,2.85,2.95,2.56,-0.22,-0.12,0.39,-0.01,NA,Gemmatimonadaceae,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales
bacteria and archaea,1140,4.21,4.37,3.33,-0.37,-0.27,0.39,-0.25,NA,Gemmatimonadaceae,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales
bacteria and archaea,915,3.3,3.47,2.48,-0.38,-0.31,0.39,0.05,Terrimonas,Chitinophagaceae,Bacteroidota,Bacteroidia,Chitinophagales
bacteria and archaea,100,3.49,NA,NA,-0.47,-0.39,0.39,0.12,NA,WD2101 soil group,Planctomycetota,Phycisphaerae,Tepidisphaerales
bacteria and archaea,1038,4.03,4.74,NA,-0.23,-0.1,0.39,-0.29,RB41,Pyrinomonadaceae,Acidobacteria,Blastocatellia,Pyrinomonadales
bacteria and archaea,1365,4.24,3.45,4.06,-0.4,-0.37,0.38,-0.21,NA,NA,Acidobacteria,Acidobacteriae,Subgroup 2
bacteria and archaea,1069,2.99,2.66,3.04,-0.29,-0.16,0.38,-0.13,NA,NA,Acidobacteria,Vicinamibacteria,Vicinamibacterales
bacteria and archaea,949,3.56,4.04,NA,-0.31,-0.22,0.38,-0.2,Parafilimonas,Chitinophagaceae,Bacteroidota,Bacteroidia,Chitinophagales
bacteria and archaea,308,3.69,2.79,2.24,-0.31,-0.21,0.38,-0.21,NA,Vicinamibacteraceae,Acidobacteria,Vicinamibacteria,Vicinamibacterales
bacteria and archaea,907,3.7,3.5,3.33,-0.31,-0.33,0.38,0.07,Puia,Chitinophagaceae,Bacteroidota,Bacteroidia,Chitinophagales
bacteria and archaea,280,3.79,3.43,NA,-0.31,-0.27,0.38,-0.08,NA,WD2101 soil group,Planctomycetota,Phycisphaerae,Tepidisphaerales
bacteria and archaea,1332,3.43,3.27,NA,-0.16,-0.05,0.38,-0.22,NA,NA,Actinobacteria,Thermoleophilia,Gaiellales
bacteria and archaea,198,3.78,4.09,3.66,-0.14,0.04,0.38,-0.09,Dactylosporangium,Micromonosporaceae,Actinobacteria,Actinobacteria,Micromonosporales
bacteria and archaea,1235,3.53,3.83,3,-0.29,-0.05,0.37,-0.24,NA,NA,Actinobacteria,Thermoleophilia,Gaiellales
bacteria and archaea,872,4.48,4.51,NA,0,0.17,0.37,NA,Sphingomonas,Sphingomonadaceae,Proteobacteria,Alphaproteobacteria,Sphingomonadales
bacteria and archaea,1201,3.34,3.74,NA,-0.26,-0.08,0.37,-0.02,JGI 0001001-H03,Blastocatellaceae,Acidobacteria,Blastocatellia,Blastocatellales
bacteria and archaea,11,3.84,3.6,3.02,-0.32,-0.07,0.37,-0.19,CL500-29 marine group,Ilumatobacteraceae,Actinobacteria,Acidimicrobiia,Microtrichales
bacteria and archaea,34,3.33,3.78,NA,-0.25,-0.13,0.37,0.06,Pseudonocardia,Pseudonocardiaceae,Actinobacteria,Actinobacteria,Pseudonocardiales
bacteria and archaea,97,3.53,3.14,2.56,-0.43,-0.33,0.37,-0.19,NA,WD2101 soil group,Planctomycetota,Phycisphaerae,Tepidisphaerales
bacteria and archaea,1637,5.08,4.97,4.03,-0.32,-0.08,0.37,-0.24,NA,NA,Chloroflexi,KD4-96,NA
bacteria and archaea,167,3.48,3.03,2.24,-0.5,-0.41,0.37,-0.25,NA,Gemmataceae,Planctomycetota,Planctomycetes,Gemmatales
bacteria and archaea,408,3.82,3.3,NA,-0.41,-0.37,0.37,-0.3,NA,Pedosphaeraceae,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales
bacteria and archaea,246,3.51,3.35,1.95,-0.41,-0.31,0.37,-0.07,NA,NA,Actinobacteria,MB-A2-108,NA
bacteria and archaea,1631,4.02,4.33,NA,-0.21,0.06,0.37,0.2,NA,Planococcaceae,Firmicutes,Bacilli,Bacillales
bacteria and archaea,430,5.06,4.72,3.92,-0.29,-0.06,0.36,-0.41,Candidatus Udaeobacter,Chthoniobacteraceae,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales
bacteria and archaea,234,4.47,4.33,NA,-0.44,-0.36,0.36,-0.23,NA,NA,Acidobacteria,Acidobacteriae,Subgroup 2
bacteria and archaea,1499,4.2,4.01,NA,-0.1,0.02,0.36,NA,NA,Kineosporiaceae,Actinobacteria,Actinobacteria,Kineosporiales
bacteria and archaea,919,3.66,3.7,3.76,-0.13,0.07,0.36,-0.19,Segetibacter,Chitinophagaceae,Bacteroidota,Bacteroidia,Chitinophagales
bacteria and archaea,1411,4.26,4.42,NA,-0.57,-0.53,0.36,-0.37,GOUTA6,Nitrosomonadaceae,Proteobacteria,Gammaproteobacteria,Burkholderiales
bacteria and archaea,1121,4.04,3.33,NA,-0.21,-0.05,0.36,-0.25,NA,NA,Acidobacteria,Vicinamibacteria,Vicinamibacterales
bacteria and archaea,989,3.98,NA,NA,-0.44,-0.43,0.36,-0.16,NA,Gemmatimonadaceae,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales
bacteria and archaea,1193,4.12,4.14,3.91,-0.32,-0.28,0.36,-0.3,JGI 0001001-H03,Blastocatellaceae,Acidobacteria,Blastocatellia,Blastocatellales
bacteria and archaea,1137,3.82,4.15,3.91,-0.1,0.15,0.36,-0.25,NA,Gemmatimonadaceae,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales
bacteria and archaea,1649,3.8,3.4,NA,-0.42,-0.33,0.36,-0.22,NA,NA,Acidobacteria,Blastocatellia,11-24
bacteria and archaea,154,3.85,NA,NA,-0.38,-0.31,0.36,NA,NA,Gemmataceae,Planctomycetota,Planctomycetes,Gemmatales
bacteria and archaea,1523,3.83,NA,NA,-0.31,-0.26,0.36,NA,NA,A21b,Proteobacteria,Gammaproteobacteria,Burkholderiales
bacteria and archaea,1079,4.45,4.51,NA,-0.35,-0.22,0.36,-0.23,NA,NA,Acidobacteria,Vicinamibacteria,Vicinamibacterales
bacteria and archaea,1542,4.35,4.44,3.87,-0.23,-0.05,0.35,-0.29,NA,SC-I-84,Proteobacteria,Gammaproteobacteria,Burkholderiales
bacteria and archaea,349,3.87,3.92,NA,-0.41,-0.28,0.35,-0.29,NA,NA,Proteobacteria,Gammaproteobacteria,WD260
bacteria and archaea,909,3.69,3.83,3.26,-0.2,-0.06,0.35,-0.23,NA,Chitinophagaceae,Bacteroidota,Bacteroidia,Chitinophagales
bacteria and archaea,624,3.85,NA,NA,-0.4,-0.4,0.35,NA,Rhodoplanes,Xanthobacteraceae,Proteobacteria,Alphaproteobacteria,Rhizobiales
bacteria and archaea,18,3.66,3.52,NA,-0.41,-0.38,0.35,-0.13,Acidothermus,Acidothermaceae,Actinobacteria,Actinobacteria,Frankiales
bacteria and archaea,50,2.92,3.13,2.6,-0.2,0,0.35,-0.16,NA,WD2101 soil group,Planctomycetota,Phycisphaerae,Tepidisphaerales
bacteria and archaea,123,3.43,3.3,2.85,-0.42,-0.3,0.35,-0.33,NA,Gemmataceae,Planctomycetota,Planctomycetes,Gemmatales
bacteria and archaea,359,3.65,4.06,2.3,-0.26,-0.08,0.35,-0.29,Acidibacter,Unknown Family,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria Incertae Sedis
bacteria and archaea,935,3.31,3.47,2.08,-0.34,-0.34,0.35,-0.38,Niastella,Chitinophagaceae,Bacteroidota,Bacteroidia,Chitinophagales
bacteria and archaea,1091,4.14,4.79,4.36,-0.31,-0.18,0.35,-0.24,NA,NA,Acidobacteria,Vicinamibacteria,Vicinamibacterales
bacteria and archaea,1654,3.37,3.63,NA,-0.22,-0.13,0.35,-0.09,NA,NA,Chloroflexi,KD4-96,NA
bacteria and archaea,1662,3.34,2.66,2.09,-0.28,-0.03,0.34,-0.4,NA,NA,Chloroflexi,P2-11E,NA
bacteria and archaea,1158,3.19,3.03,3.14,-0.47,-0.37,0.34,-0.27,Candidatus Solibacter,Solibacteraceae,Acidobacteria,Acidobacteriae,Solibacterales
