Community,Taxon ID,Taxon name,Phylum,Family,Control measure,High control,Mid control,Low control,Warmed gradient PRC weight,Warmed experiment PRC weight,Cooled gradient PRC weight,Cooled experiment PRC weight,Selected among top 15 for
Plants,Festuca rubra,Festuca rubra,NA,Poaceae,Mean scaled proportional dominance (%),0,69.06,0,-0.09,0.74,0.67,2.1,Cooled experiment
Plants,Achillea millefolium,Achillea millefolium,NA,Asteraceae,Mean scaled proportional dominance (%),0,0.17,33.26,1.86,1.42,-1.77,-1.15,Warmed gradient; Warmed experiment; Cooled gradient; Cooled experiment
Plants,Poa pratensis,Poa pratensis,NA,Poaceae,Mean scaled proportional dominance (%),0,0,41.44,1.78,0.22,-1.82,-1.12,Warmed gradient; Cooled gradient; Cooled experiment
Plants,Heliomeris multiflora,Heliomeris multiflora,NA,Asteraceae,Mean scaled proportional dominance (%),0,19.94,2.38,0.16,1.73,0.04,1.2,Warmed experiment; Cooled experiment
Plants,Poa reflexa,Poa reflexa,NA,Poaceae,Mean scaled proportional dominance (%),40.79,20,0,-1.57,-0.26,1.6,1.34,Warmed gradient; Cooled gradient; Cooled experiment
Plants,Senecio crassulus,Senecio crassulus,NA,Asteraceae,Mean scaled proportional dominance (%),7.67,24.72,1.46,-0.55,0.34,0.83,1.53,Cooled experiment
Plants,Stipa nelsonii,Stipa nelsonii,NA,Poaceae,Mean scaled proportional dominance (%),0,0,20.74,1.42,1.04,-1.34,-0.9,Warmed gradient; Warmed experiment; Cooled gradient; Cooled experiment
Plants,Potentilla pulcherrima,Potentilla pulcherrima,NA,Rosaceae,Mean scaled proportional dominance (%),5.04,26.69,41.49,1.42,1.42,-1.31,-0.33,Warmed gradient; Warmed experiment; Cooled gradient
Plants,Lathyrus lanszwertii,Lathyrus lanszwertii,NA,Fabaceae,Mean scaled proportional dominance (%),0,11.93,27.39,1.4,1.08,-1.25,-0.36,Warmed gradient; Warmed experiment; Cooled gradient
Plants,Viola nuttallii,Viola nuttallii,NA,Violaceae,Mean scaled proportional dominance (%),2.81,10.04,27.09,1.37,1.11,-1.23,-0.58,Warmed gradient; Warmed experiment; Cooled gradient
Plants,Helianthella quinquenervis,Helianthella quinquenervis,NA,Asteraceae,Mean scaled proportional dominance (%),41.57,18.1,4.18,-1,-0.69,1.29,0.88,Warmed gradient; Cooled gradient; Cooled experiment
Plants,Delphinium nuttallianum,Delphinium nuttallianum,NA,Ranunculaceae,Mean scaled proportional dominance (%),0,0,6.28,1.29,0.87,-1.28,-0.76,Warmed gradient; Warmed experiment; Cooled gradient; Cooled experiment
Plants,Valeriana occidentalis,Valeriana occidentalis,NA,Valerianaceae,Mean scaled proportional dominance (%),0,0,18.44,1.23,NA,-1.19,-0.7,Warmed gradient; Cooled gradient; Cooled experiment
Plants,Elymus repens,Elymus repens,NA,Poaceae,Mean scaled proportional dominance (%),0.38,10.14,5.46,0.41,1.17,-0.18,-0.34,Warmed experiment
Plants,Ligusticum porteri,Ligusticum porteri,NA,Apiaceae,Mean scaled proportional dominance (%),27.14,14.14,0.89,-1,-0.17,1.16,1.06,Warmed gradient; Cooled gradient; Cooled experiment
Plants,Melica spectabilis,Melica spectabilis,NA,Poaceae,Mean scaled proportional dominance (%),0,3.34,5.09,1.09,1.16,-0.98,-0.66,Warmed gradient; Warmed experiment; Cooled gradient; Cooled experiment
Plants,Mertensia fusiformis,Mertensia fusiformis,NA,Boraginaceae,Mean scaled proportional dominance (%),0.04,0.7,3.92,0.95,1.09,-1.02,-0.4,Warmed experiment; Cooled gradient
Plants,Thalictrum fendleri,Thalictrum fendleri,NA,Ranunculaceae,Mean scaled proportional dominance (%),0.18,7.99,1.13,0.17,1.09,0.15,0.76,Warmed experiment; Cooled experiment
Plants,Carex sp.,Carex sp.,NA,Cyperaceae,Mean scaled proportional dominance (%),0,1.46,9.34,1.03,1,-0.76,0.12,Warmed gradient; Warmed experiment
Plants,Agoseris aurantiaca,Agoseris aurantiaca,NA,Asteraceae,Mean scaled proportional dominance (%),0,0,4.59,0.96,0.35,-1.03,-0.63,Cooled gradient
Plants,Vicia americana,Vicia americana,NA,Fabaceae,Mean scaled proportional dominance (%),0,1.04,3.06,0.78,1.01,-0.46,0.27,Warmed experiment
Plants,Fragaria virginiana,Fragaria virginiana,NA,Rosaceae,Mean scaled proportional dominance (%),20.66,8.87,0,-0.98,-0.32,1,0.66,Warmed gradient; Cooled gradient
Plants,Taraxacum officinale,Taraxacum officinale,NA,Asteraceae,Mean scaled proportional dominance (%),0.1,0.85,9.18,0.98,0.72,-0.96,-0.65,Warmed gradient
Plants,Frasera speciosa,Frasera speciosa,NA,Gentianaceae,Mean scaled proportional dominance (%),3.9,0,0,-0.82,-0.51,0.85,0.95,Cooled experiment
