"turfID","year","destinationSite","treatmentOriginGroup","species","scaled"
"um1-2_w2_mo1-5",2019,"Upper Montane","High W2","Agoseris glauca",0.0769230769230769
"um1-2_w2_mo1-5",2019,"Upper Montane","High W2","Bromus carinatus",0.615384615384615
"um1-2_w2_mo1-5",2019,"Upper Montane","High W2","Hymenoxys hoopesii",0.307692307692308
"um1-2_w2_mo1-5",2019,"Upper Montane","High W2","Lathyrus lanszwertii",0.230769230769231
"um1-2_w2_mo1-5",2019,"Upper Montane","High W2","Ligusticum porteri",0.769230769230769
"um1-2_w2_mo1-5",2019,"Upper Montane","High W2","Poa pratensis",0.0769230769230769
"um1-2_w2_mo1-5",2019,"Upper Montane","High W2","Poa reflexa",1
"um1-2_w2_mo1-5",2019,"Upper Montane","High W2","Senecio crassulus",0.153846153846154
"um1-2_w2_mo1-5",2019,"Upper Montane","High W2","Viola nuttallii",0.230769230769231
"um1-2_w2_mo1-5",2019,"Upper Montane","High W2","Noccaea fendleri",0.0769230769230769
"um1-2_w2_mo1-5",2019,"Upper Montane","High W2","Atriplex argentea",0.0769230769230769
"um1-2_w2_mo1-5",2019,"Upper Montane","High W2","Delphinium nuttallianum",0.0769230769230769
"um1-2_w2_mo1-5",2019,"Upper Montane","High W2","Heliomeris multiflora",0.0769230769230769
"um1-2_w2_mo1-5",2019,"Upper Montane","High W2","Polygonum douglasii",0.0769230769230769
"um1-2_w2_mo1-5",2019,"Upper Montane","High W2","Galium coloradoense",0.0769230769230769
"um1-2_w2_mo1-5",2019,"Upper Montane","High W2","Collomia linearis",0.0769230769230769
"um1-3_u_um1-3",2019,"Upper Montane","Low Control","Achillea millefolium",0.133333333333333
"um1-3_u_um1-3",2019,"Upper Montane","Low Control","Carex sp.",0.0333333333333333
"um1-3_u_um1-3",2019,"Upper Montane","Low Control","Elymus repens",0.0333333333333333
"um1-3_u_um1-3",2019,"Upper Montane","Low Control","Lathyrus lanszwertii",0.0666666666666667
"um1-3_u_um1-3",2019,"Upper Montane","Low Control","Melica spectabilis",0.0666666666666667
"um1-3_u_um1-3",2019,"Upper Montane","Low Control","Mertensia fusiformis",0.0333333333333333
"um1-3_u_um1-3",2019,"Upper Montane","Low Control","Poa pratensis",0.0333333333333333
"um1-3_u_um1-3",2019,"Upper Montane","Low Control","Potentilla pulcherrima",0.133333333333333
"um1-3_u_um1-3",2019,"Upper Montane","Low Control","Stipa nelsonii",0.1
"um1-3_u_um1-3",2019,"Upper Montane","Low Control","Tragopogon dubius",0.0333333333333333
"um1-3_u_um1-3",2019,"Upper Montane","Low Control","Viola nuttallii",1
"um1-3_u_um1-3",2019,"Upper Montane","Low Control","Vicia americana",0.0333333333333333
"um1-3_u_um1-3",2019,"Upper Montane","Low Control","Delphinium nuttallianum",0.0333333333333333
"um1-3_u_um1-3",2019,"Upper Montane","Low Control","Polygonum douglasii",0.0333333333333333
"um1-3_u_um1-3",2019,"Upper Montane","Low Control","Collomia linearis",0.0333333333333333
"um1-3_u_um1-3",2019,"Upper Montane","Low Control","Helianthella quinquenervis",0.0333333333333333
"um1-3_u_um1-3",2019,"Upper Montane","Low Control","Senecio integerrimus",0.133333333333333
"um1-3_u_um1-3",2019,"Upper Montane","Low Control","Atriplex argentea",0.0333333333333333
"um1-4_ws_um1-1",2019,"Upper Montane","Low Control","Achillea millefolium",0.0625
"um1-4_ws_um1-1",2019,"Upper Montane","Low Control","Bromus carinatus",0.0625
"um1-4_ws_um1-1",2019,"Upper Montane","Low Control","Erigeron speciosus",0.25
"um1-4_ws_um1-1",2019,"Upper Montane","Low Control","Helianthella quinquenervis",0.3125
"um1-4_ws_um1-1",2019,"Upper Montane","Low Control","Heliomeris multiflora",0.0625
"um1-4_ws_um1-1",2019,"Upper Montane","Low Control","Lathyrus lanszwertii",0.0625
"um1-4_ws_um1-1",2019,"Upper Montane","Low Control","Melica spectabilis",0.25
"um1-4_ws_um1-1",2019,"Upper Montane","Low Control","Poa pratensis",0.125
"um1-4_ws_um1-1",2019,"Upper Montane","Low Control","Potentilla pulcherrima",0.3125
"um1-4_ws_um1-1",2019,"Upper Montane","Low Control","Stipa nelsonii",0.0625
"um1-4_ws_um1-1",2019,"Upper Montane","Low Control","Taraxacum officinale",0.625
"um1-4_ws_um1-1",2019,"Upper Montane","Low Control","Tragopogon dubius",0.0625
"um1-4_ws_um1-1",2019,"Upper Montane","Low Control","Vicia americana",0.0625
"um1-4_ws_um1-1",2019,"Upper Montane","Low Control","Viola nuttallii",1
"um1-4_ws_um1-1",2019,"Upper Montane","Low Control","Senecio integerrimus",0.25
"um1-4_ws_um1-1",2019,"Upper Montane","Low Control","Lithophragma glabrum",0.0625
"um1-4_ws_um1-1",2019,"Upper Montane","Low Control","Delphinium nuttallianum",0.25
"um1-4_ws_um1-1",2019,"Upper Montane","Low Control","Claytonia lanceolata",0.0625
"um1-4_ws_um1-1",2019,"Upper Montane","Low Control","Atriplex argentea",0.0625
"um1-4_ws_um1-1",2019,"Upper Montane","Low Control","Galium bifolium",0.0625
"um1-4_ws_um1-1",2019,"Upper Montane","Low Control","Polygonum douglasii",0.0625
"um1-5_w1_pf1-4",2019,"Upper Montane","Mid W1","Agoseris glauca",0.0714285714285714
"um1-5_w1_pf1-4",2019,"Upper Montane","Mid W1","Bromus carinatus",0.142857142857143
"um1-5_w1_pf1-4",2019,"Upper Montane","Mid W1","Elymus repens",0.0714285714285714
"um1-5_w1_pf1-4",2019,"Upper Montane","Mid W1","Erigeron speciosus",0.428571428571429
"um1-5_w1_pf1-4",2019,"Upper Montane","Mid W1","Heliomeris multiflora",1
"um1-5_w1_pf1-4",2019,"Upper Montane","Mid W1","Lathyrus lanszwertii",0.285714285714286
"um1-5_w1_pf1-4",2019,"Upper Montane","Mid W1","Ligusticum porteri",0.0714285714285714
"um1-5_w1_pf1-4",2019,"Upper Montane","Mid W1","Melica spectabilis",0.0714285714285714
"um1-5_w1_pf1-4",2019,"Upper Montane","Mid W1","Mertensia fusiformis",0.0714285714285714
"um1-5_w1_pf1-4",2019,"Upper Montane","Mid W1","Poa reflexa",0.785714285714286
"um1-5_w1_pf1-4",2019,"Upper Montane","Mid W1","Potentilla pulcherrima",0.285714285714286
"um1-5_w1_pf1-4",2019,"Upper Montane","Mid W1","Atriplex argentea",0.0714285714285714
"um1-5_w1_pf1-4",2019,"Upper Montane","Mid W1","Senecio crassulus",0.0714285714285714
"um1-5_w1_pf1-4",2019,"Upper Montane","Mid W1","Taraxacum officinale",0.0714285714285714
"um1-5_w1_pf1-4",2019,"Upper Montane","Mid W1","Viola nuttallii",0.285714285714286
"um1-5_w1_pf1-4",2019,"Upper Montane","Mid W1","Helianthella quinquenervis",0.0714285714285714
"um1-5_w1_pf1-4",2019,"Upper Montane","Mid W1","Polygonum douglasii",0.0714285714285714
"um1-5_w1_pf1-4",2019,"Upper Montane","Mid W1","Senecio integerrimus",0.142857142857143
"um1-5_w1_pf1-4",2019,"Upper Montane","Mid W1","Claytonia lanceolata",0.0714285714285714
"um1-5_w1_pf1-4",2019,"Upper Montane","Mid W1","Boechera stricta",0.0714285714285714
"um1-5_w1_pf1-4",2019,"Upper Montane","Mid W1","Delphinium nuttallianum",0.0714285714285714
"um1-5_w1_pf1-4",2019,"Upper Montane","Mid W1","Androsace septentrionalis",0.0714285714285714
"um1-5_w1_pf1-4",2019,"Upper Montane","Mid W1","Poa pratensis",0.0714285714285714
"um1-5_w1_pf1-4",2019,"Upper Montane","Mid W1","Achillea millefolium",0.0714285714285714
"um2-1_w1_pf2-5",2019,"Upper Montane","Mid W1","Achillea millefolium",0.1
"um2-1_w1_pf2-5",2019,"Upper Montane","Mid W1","Bromus carinatus",0.1
"um2-1_w1_pf2-5",2019,"Upper Montane","Mid W1","Elymus repens",0.1
"um2-1_w1_pf2-5",2019,"Upper Montane","Mid W1","Helianthella quinquenervis",0.1
"um2-1_w1_pf2-5",2019,"Upper Montane","Mid W1","Heliomeris multiflora",0.4
"um2-1_w1_pf2-5",2019,"Upper Montane","Mid W1","Ligusticum porteri",0.1
"um2-1_w1_pf2-5",2019,"Upper Montane","Mid W1","Poa reflexa",0.4
"um2-1_w1_pf2-5",2019,"Upper Montane","Mid W1","Potentilla pulcherrima",1
"um2-1_w1_pf2-5",2019,"Upper Montane","Mid W1","Senecio crassulus",0.2
"um2-1_w1_pf2-5",2019,"Upper Montane","Mid W1","Vicia americana",0.1
"um2-1_w1_pf2-5",2019,"Upper Montane","Mid W1","Viola nuttallii",0.4
"um2-1_w1_pf2-5",2019,"Upper Montane","Mid W1","Melica spectabilis",0.1
"um2-1_w1_pf2-5",2019,"Upper Montane","Mid W1","Polygonum douglasii",0.1
"um2-1_w1_pf2-5",2019,"Upper Montane","Mid W1","Poa pratensis",0.1
"um2-1_w1_pf2-5",2019,"Upper Montane","Mid W1","Erythronium grandiflorum",0.2
"um2-1_w1_pf2-5",2019,"Upper Montane","Mid W1","Noccaea fendleri",0.1
"um2-2_u_um2-2",2019,"Upper Montane","Low Control","Achillea millefolium",0.25
"um2-2_u_um2-2",2019,"Upper Montane","Low Control","Agoseris aurantiaca",0.05
"um2-2_u_um2-2",2019,"Upper Montane","Low Control","Carex sp.",0.05
"um2-2_u_um2-2",2019,"Upper Montane","Low Control","Draba spectabilis",0.05
"um2-2_u_um2-2",2019,"Upper Montane","Low Control","Bromus carinatus",0.15
"um2-2_u_um2-2",2019,"Upper Montane","Low Control","Elymus repens",0.05
