"species","family","High Control","Low Control","Mid Control"
"Agoseris glauca","Asteraceae",0.01899,0.01709,0.04092
"Agoseris sp.","Asteraceae",0.00148,NA,NA
"Androsace septentrionalis","Primulaceae",0.01404,0.00416,0.00542
"Aquilegia caerulea","Ranunculaceae",0.05424,0.00556,0.00556
"Boechera stricta","Brassicaceae",0.00119,0.00278,0.00407
"Bromus carinatus","Poaceae",0.04341,0.08461,0.11759
"Campanula rotundifolia","Campanulaceae",4e-04,0.00083,0.00015
"Castilleja sulphurea","Scrophulariaceae",0.04769,0.00617,0.09852
"Chamaenerion angustifolium","Onagraceae",0.00089,NA,NA
"Elymus bakeri","Poaceae",0.08052,NA,NA
"Elymus repens","Poaceae",0.00375,0.05465,0.10139
"Epilobium sp.","Onagraceae",0.00825,NA,0.00074
"Erigeron coulteri","Asteraceae",0.00558,NA,NA
"Erigeron sp.","Asteraceae",0.00185,0.00139,0.00489
"Erigeron speciosus","Asteraceae",0.00051,0.09694,0.11558
"Erythronium grandiflorum","Liliaceae",0.01314,0.00185,0.01089
"Fragaria virginiana","Rosaceae",0.20656,NA,0.08873
"Frasera speciosa","Gentianaceae",0.03902,NA,NA
"Gentianella campestris","Gentianaceae",0.00037,NA,NA
"Geranium richardsonii","Geraniaceae",0.02202,NA,NA
"Helianthella quinquenervis","Asteraceae",0.41569,0.04183,0.18103
"Heterotheca pumila","Asteraceae",0.1397,NA,NA
"Hydrophyllum capitatum","Hydrophyllaceae",0.01095,0.0092,NA
"Hymenoxys hoopesii","Asteraceae",0.28948,0.1367,0.00754
"Ligusticum porteri","Apiaceae",0.27143,0.00892,0.14138
"Lupinus sp.","Fabaceae",0.10698,NA,0.00752
"Mertensia fusiformis","Boraginaceae",0.00037,0.03921,0.00701
"Noccaea fendleri","Brassicaceae",0.01555,0.00222,NA
"Poa reflexa","Poaceae",0.40795,NA,0.19999
"Polygonum douglasii","Polygonaceae",0.00749,0.01539,0.00527
"Potentilla pulcherrima","Rosaceae",0.05042,0.41487,0.2669
"Ranunculus inamoenus","Ranunculaceae",0.00753,0.00415,0.00242
"Rhodiola integrifolia","Crassulaceae",0.03972,NA,NA
"Senecio crassulus","Asteraceae",0.07672,0.01458,0.24715
"Symphyotrichum ascendens","Asteraceae",0.01672,NA,NA
"Taraxacum officinale","Asteraceae",0.00099,0.09179,0.00852
"Thalictrum fendleri","Ranunculaceae",0.00185,0.01133,0.07986
"Unknown round leaves",NA,0.00048,NA,NA
"Valeriana edulis","Valerianaceae",0.06082,NA,NA
"Viola nuttallii","Violaceae",0.02814,0.27091,0.10043
"Achillea millefolium","Asteraceae",NA,0.33265,0.00167
"Agoseris aurantiaca","Asteraceae",NA,0.04594,NA
"Aphyllon fasciculatum","Scrophulariaceae",NA,0.0025,NA
"Artemisia tridentata","Asteraceae",NA,0.0315,NA
"Atriplex argentea","Chenopodiaceae",NA,0.00707,NA
"Carex sp.","Cyperaceae",NA,0.09335,0.01464
"Claytonia lanceolata","Portulacaceae",NA,0.00069,NA
"Collomia linearis","Polemoniaceae",NA,0.05508,0.00207
"Delphinium nuttallianum","Ranunculaceae",NA,0.06281,NA
"Draba albertina","Brassicaceae",NA,0.00044,9e-05
"Draba spectabilis","Brassicaceae",NA,0.0196,NA
"Festuca thurberi","Poaceae",NA,0.02761,NA
"Galium bifolium","Rubiaceae",NA,0.02628,NA
"Galium coloradoense","Rubiaceae",NA,0.00667,NA
"Heliomeris multiflora","Asteraceae",NA,0.02376,0.1994
"Lathyrus lanszwertii","Fabaceae",NA,0.27391,0.11926
"Linum lewisii","Linaceae",NA,0.01417,0.01169
"Lithophragma glabrum","Saxifragaceae",NA,0.00069,NA
"Melica spectabilis","Poaceae",NA,0.05086,0.03339
"Poa pratensis","Poaceae",NA,0.41435,NA
"Senecio integerrimus","Asteraceae",NA,0.04258,NA
"Stipa nelsonii","Poaceae",NA,0.20739,NA
"Tragopogon dubius","Asteraceae",NA,0.0101,NA
"Valeriana occidentalis","Valerianaceae",NA,0.18443,NA
"Vicia americana","Fabaceae",NA,0.03065,0.01043
"Erigeron elatior","Asteraceae",NA,NA,0.00463
"Festuca rubra","Poaceae",NA,NA,0.6906
"Osmorhiza occidentalis","Apiaceae",NA,NA,0.00505
