"treatmentOriginGroupCompare","eig RDA1","Df","F","p value","community"
"High Control and Low Control",6.23248913113476,6,4.44609526848388,0.001,"plants"
"High Control and Mid Control",4.33771321078156,6,4.35764945404588,0.001,"plants"
"Mid Control and Low Control",4.72124685675974,6,3.98322732763397,0.001,"plants"
"High W2 and High Control (origin)",3.11495363818585,6,2.31930338552987,0.001,"plants"
"High W2 and Low Control (destination)",4.48743081780151,6,2.72699510059333,0.001,"plants"
"High W1 and High Control (origin)",2.01435176959228,6,1.8720644147138,0.001,"plants"
"High W1 and Mid Control (destination)",3.89424571482688,6,3.22889388246031,0.001,"plants"
"Mid W1 and Mid Control (origin)",3.30982935867408,6,2.99026615697966,0.001,"plants"
"Mid W1 and Low Control (destination)",3.60138702986781,6,2.50320298933265,0.001,"plants"
"Low C2 and Low Control (origin)",1.73643440103835,6,1.14082665209465,0.181,"plants"
"Low C2 and High Control (destination)",5.89080086344025,6,3.71059731064814,0.001,"plants"
"Low C1 and Low Control (origin)",1.48630223446245,6,1.09721842003801,0.27,"plants"
"Low C1 and Mid Control (destination)",4.29983088195422,6,3.59382865653088,0.001,"plants"
"Mid C1 and Mid Control (origin)",1.43631543197555,6,1.71155869014024,0.001,"plants"
"Mid C1 and High Control (destination)",3.85358781909234,6,2.65290344284199,0.001,"plants"
