"species","family","warmed_plants_gradient","warmed_plants","cooled_plants_gradient","cooled_plants"
"Poa reflexa","Poaceae",-1.56839442168954,-0.256613433073761,1.59814076612356,1.33796035541387
"Helianthella quinquenervis","Asteraceae",-1.00332798038424,-0.694646018642374,1.29018665343896,0.880410739105193
"Ligusticum porteri","Apiaceae",-0.999988393989635,-0.168016774565376,1.16387669262209,1.06273825127677
"Fragaria virginiana","Rosaceae",-0.982997802512993,-0.319628338380289,1.00123420414044,0.661834714296773
"Noccaea fendleri","Brassicaceae",-0.828794843802934,-0.066171275054531,0.812067758272646,0.263246201727774
"Frasera speciosa","Gentianaceae",-0.822291371340618,-0.505619101548483,0.847651823571441,0.95309416538835
"Heterotheca pumila","Asteraceae",-0.78195106140136,-0.394210781231594,0.711384419124159,0.0279198177209769
"Lupinus sp.","Fabaceae",-0.769009606560523,-0.554584824730636,0.806278326083898,0.084827693610653
"Rhodiola integrifolia","Crassulaceae",-0.706453954036388,-0.365268217656572,0.801150051143786,NA
"Elymus bakeri","Poaceae",-0.679451175994772,-0.603291454345077,0.789092625671061,0.791420012592961
"Geranium richardsonii","Geraniaceae",-0.664377236562613,-0.368476691612587,0.723891219135583,NA
"Epilobium sp.","Onagraceae",-0.639540178571234,-0.368919422270676,0.488361159169957,0.445253422048654
"Senecio crassulus","Asteraceae",-0.554963214491778,0.337995016191653,0.827242477550715,1.52709532957032
"Hymenoxys hoopesii","Asteraceae",-0.542096786683866,-0.73008872702194,0.289401086593362,-0.266804393942917
"Symphyotrichum ascendens","Asteraceae",-0.535953105654018,-0.382040690790121,0.562677605917987,NA
"Castilleja sulphurea","Scrophulariaceae",-0.513235129970526,-0.417699908337032,0.573530456677616,-0.214856291298476
"Aquilegia caerulea","Ranunculaceae",-0.483669863092588,-0.114224333599853,0.552025024457886,-0.15846188162274
"Erythronium grandiflorum","Liliaceae",-0.44603582720232,0.457390007609731,0.0318099245558216,0.157648066066353
"Androsace septentrionalis","Primulaceae",-0.415846504349784,-0.135347473356442,0.401191618614439,-0.208887718607154
"Valeriana edulis","Valerianaceae",-0.414328445423737,-0.31274660496064,0.50876885280163,NA
"Ranunculus inamoenus","Ranunculaceae",-0.360118912875359,-0.150557898335091,0.354138285951324,-0.205602586672539
"Unknown round leaves",NA,-0.323747682830868,-0.0674641245043732,0.369981671762472,NA
"Erigeron coulteri","Asteraceae",-0.303901279999852,-0.265354694330731,0.350382622076546,NA
"Gentiana parryi","Gentianaceae",-0.292549695370757,-0.0810038026296529,NA,NA
"Agoseris sp.","Asteraceae",-0.175620893218407,-0.157970613709254,0.111087420225069,0.00167187496286035
"Chamaenerion angustifolium","Onagraceae",-0.157513979304979,-0.115314246716602,0.215432786898772,NA
"Erigeron sp.","Asteraceae",-0.137518895188768,0.0228770702313616,0.1238941275746,-0.168631619119582
"Gentianella campestris","Gentianaceae",-0.135938571876119,-0.0815344351308691,0.196186295242187,NA
"Festuca rubra","Poaceae",-0.0919426133016529,0.742981126705633,0.670247291028996,2.09578731198004
"Hydrophyllum capitatum","Hydrophyllaceae",-0.071636156354891,-0.174263655989806,0.0186093404360486,-0.205707172518085
"Osmorhiza occidentalis","Apiaceae",-0.0618612989162767,NA,0.14291069499952,NA
