"species","score.x","label.x","Time.x","Treatment.x","Response.x","X.x","community.x","score.y","label.y","Time.y","Treatment.y","Response.y","X.y","community.y"
"Poa reflexa","Species","Poa reflexa",NA,NA,-1.56839442168954,1,"warmed_plants_gradient","Species","Poa reflexa",NA,NA,-1.59814076612356,1,"cooled_plants_gradient"
"Helianthella quinquenervis","Species","Helianthella quinquenervis",NA,NA,-1.00332798038424,1,"warmed_plants_gradient","Species","Helianthella quinquenervis",NA,NA,-1.29018665343896,1,"cooled_plants_gradient"
"Ligusticum porteri","Species","Ligusticum porteri",NA,NA,-0.999988393989635,1,"warmed_plants_gradient","Species","Ligusticum porteri",NA,NA,-1.16387669262209,1,"cooled_plants_gradient"
"Fragaria virginiana","Species","Fragaria virginiana",NA,NA,-0.982997802512993,1,"warmed_plants_gradient","Species","Fragaria virginiana",NA,NA,-1.00123420414044,1,"cooled_plants_gradient"
"Noccaea fendleri","Species","Noccaea fendleri",NA,NA,-0.828794843802934,1,"warmed_plants_gradient","Species","Noccaea fendleri",NA,NA,-0.812067758272646,1,"cooled_plants_gradient"
"Frasera speciosa","Species","Frasera speciosa",NA,NA,-0.822291371340618,1,"warmed_plants_gradient","Species","Frasera speciosa",NA,NA,-0.847651823571441,1,"cooled_plants_gradient"
"Heterotheca pumila","Species","Heterotheca pumila",NA,NA,-0.78195106140136,1,"warmed_plants_gradient","Species","Heterotheca pumila",NA,NA,-0.711384419124159,1,"cooled_plants_gradient"
"Lupinus sp.","Species","Lupinus sp.",NA,NA,-0.769009606560523,1,"warmed_plants_gradient","Species","Lupinus sp.",NA,NA,-0.806278326083898,1,"cooled_plants_gradient"
"Rhodiola integrifolia","Species","Rhodiola integrifolia",NA,NA,-0.706453954036388,1,"warmed_plants_gradient","Species","Rhodiola integrifolia",NA,NA,-0.801150051143786,1,"cooled_plants_gradient"
"Elymus bakeri","Species","Elymus bakeri",NA,NA,-0.679451175994772,1,"warmed_plants_gradient","Species","Elymus bakeri",NA,NA,-0.789092625671061,1,"cooled_plants_gradient"
"Geranium richardsonii","Species","Geranium richardsonii",NA,NA,-0.664377236562613,1,"warmed_plants_gradient","Species","Geranium richardsonii",NA,NA,-0.723891219135583,1,"cooled_plants_gradient"
"Epilobium sp.","Species","Epilobium sp.",NA,NA,-0.639540178571234,1,"warmed_plants_gradient","Species","Epilobium sp.",NA,NA,-0.488361159169957,1,"cooled_plants_gradient"
"Senecio crassulus","Species","Senecio crassulus",NA,NA,-0.554963214491778,1,"warmed_plants_gradient","Species","Senecio crassulus",NA,NA,-0.827242477550715,1,"cooled_plants_gradient"
"Hymenoxys hoopesii","Species","Hymenoxys hoopesii",NA,NA,-0.542096786683866,1,"warmed_plants_gradient","Species","Hymenoxys hoopesii",NA,NA,-0.289401086593362,1,"cooled_plants_gradient"
"Symphyotrichum ascendens","Species","Symphyotrichum ascendens",NA,NA,-0.535953105654018,1,"warmed_plants_gradient","Species","Symphyotrichum ascendens",NA,NA,-0.562677605917987,1,"cooled_plants_gradient"
"Castilleja sulphurea","Species","Castilleja sulphurea",NA,NA,-0.513235129970526,1,"warmed_plants_gradient","Species","Castilleja sulphurea",NA,NA,-0.573530456677616,1,"cooled_plants_gradient"
"Aquilegia caerulea","Species","Aquilegia caerulea",NA,NA,-0.483669863092588,1,"warmed_plants_gradient","Species","Aquilegia caerulea",NA,NA,-0.552025024457886,1,"cooled_plants_gradient"
"Erythronium grandiflorum","Species","Erythronium grandiflorum",NA,NA,-0.44603582720232,1,"warmed_plants_gradient","Species","Erythronium grandiflorum",NA,NA,-0.0318099245558216,1,"cooled_plants_gradient"
"Androsace septentrionalis","Species","Androsace septentrionalis",NA,NA,-0.415846504349784,1,"warmed_plants_gradient","Species","Androsace septentrionalis",NA,NA,-0.401191618614439,1,"cooled_plants_gradient"
"Valeriana edulis","Species","Valeriana edulis",NA,NA,-0.414328445423737,1,"warmed_plants_gradient","Species","Valeriana edulis",NA,NA,-0.50876885280163,1,"cooled_plants_gradient"
"Ranunculus inamoenus","Species","Ranunculus inamoenus",NA,NA,-0.360118912875359,1,"warmed_plants_gradient","Species","Ranunculus inamoenus",NA,NA,-0.354138285951324,1,"cooled_plants_gradient"
"Unknown round leaves","Species","Unknown round leaves",NA,NA,-0.323747682830868,1,"warmed_plants_gradient","Species","Unknown round leaves",NA,NA,-0.369981671762472,1,"cooled_plants_gradient"
"Erigeron coulteri","Species","Erigeron coulteri",NA,NA,-0.303901279999852,1,"warmed_plants_gradient","Species","Erigeron coulteri",NA,NA,-0.350382622076546,1,"cooled_plants_gradient"
"Gentiana parryi","Species","Gentiana parryi",NA,NA,-0.292549695370757,1,"warmed_plants_gradient",NA,NA,NA,NA,NA,NA,NA
"Agoseris sp.","Species","Agoseris sp.",NA,NA,-0.175620893218407,1,"warmed_plants_gradient","Species","Agoseris sp.",NA,NA,-0.111087420225069,1,"cooled_plants_gradient"
"Chamaenerion angustifolium","Species","Chamaenerion angustifolium",NA,NA,-0.157513979304979,1,"warmed_plants_gradient","Species","Chamaenerion angustifolium",NA,NA,-0.215432786898772,1,"cooled_plants_gradient"
"Erigeron sp.","Species","Erigeron sp.",NA,NA,-0.137518895188768,1,"warmed_plants_gradient","Species","Erigeron sp.",NA,NA,-0.1238941275746,1,"cooled_plants_gradient"
"Gentianella campestris","Species","Gentianella campestris",NA,NA,-0.135938571876119,1,"warmed_plants_gradient","Species","Gentianella campestris",NA,NA,-0.196186295242187,1,"cooled_plants_gradient"
"Festuca rubra","Species","Festuca rubra",NA,NA,-0.0919426133016529,1,"warmed_plants_gradient","Species","Festuca rubra",NA,NA,-0.670247291028996,1,"cooled_plants_gradient"
"Hydrophyllum capitatum","Species","Hydrophyllum capitatum",NA,NA,-0.071636156354891,1,"warmed_plants_gradient","Species","Hydrophyllum capitatum",NA,NA,-0.0186093404360486,1,"cooled_plants_gradient"
"Osmorhiza occidentalis","Species","Osmorhiza occidentalis",NA,NA,-0.0618612989162767,1,"warmed_plants_gradient","Species","Osmorhiza occidentalis",NA,NA,-0.14291069499952,1,"cooled_plants_gradient"
"Agoseris glauca","Species","Agoseris glauca",NA,NA,-0.0364221725642998,1,"warmed_plants_gradient","Species","Agoseris glauca",NA,NA,-0.229113118915286,1,"cooled_plants_gradient"
"Polygonum douglasii","Species","Polygonum douglasii",NA,NA,0.00514524710726285,1,"warmed_plants_gradient","Species","Polygonum douglasii",NA,NA,0.444892397469176,1,"cooled_plants_gradient"
"Veratrum californicum","Species","Veratrum californicum",NA,NA,0.0585312101901583,1,"warmed_plants_gradient",NA,NA,NA,NA,NA,NA,NA
"Erigeron elatior","Species","Erigeron elatior",NA,NA,0.118290675330403,1,"warmed_plants_gradient","Species","Erigeron elatior",NA,NA,-0.106686986958481,1,"cooled_plants_gradient"
"Heliomeris multiflora","Species","Heliomeris multiflora",NA,NA,0.155137777368802,1,"warmed_plants_gradient","Species","Heliomeris multiflora",NA,NA,-0.0350647601306658,1,"cooled_plants_gradient"
